pid,"source","alias","language"
287,"taxonomy/term/286","cities/zell","und"
288,"taxonomy/term/287","cities/zhovkva","und"
289,"taxonomy/term/288","cities/zolochiv","und"
290,"taxonomy/term/289","cities/zuellichau","und"
291,"taxonomy/term/290","cities/zülz","und"
292,"taxonomy/term/291","cities/zürich","und"
293,"taxonomy/term/292","cities/אבערראבבינער","und"
294,"taxonomy/term/293","cities/אמשניץ","und"
295,"taxonomy/term/294","cities/אפען","und"
296,"taxonomy/term/295","cities/דיהרנפורט","und"
297,"taxonomy/term/296","cities/דיניויץ","und"
298,"taxonomy/term/297","cities/ווערדין","und"
299,"taxonomy/term/298","cities/ויעלקאשט","und"
300,"taxonomy/term/299","cities/ולאטאווי","und"
301,"taxonomy/term/300","cities/זאמחוב","und"
302,"taxonomy/term/301","cities/טורהאוויץ","und"
303,"taxonomy/term/302","cities/טשערנאוויץ","und"
304,"taxonomy/term/303","cities/יוזעפאף","und"
305,"taxonomy/term/304","cities/לעטשובלאצוב","und"
306,"taxonomy/term/305","cities/מיץ","und"
307,"taxonomy/term/306","cities/נאווי-דוואהר","und"
308,"taxonomy/term/307","cities/סטאבנץ","und"
309,"taxonomy/term/308","cities/קאסנטין-הישנה","und"
310,"taxonomy/term/309","cities/ראנינבורג","und"
311,"taxonomy/term/310","cities/שערשאווי","und"
312,"taxonomy/term/311","cities/שקוד-האזפוט","und"
313,"taxonomy/term/312","type-edition/anthology","und"
314,"taxonomy/term/313","type-edition/edition","und"
315,"taxonomy/term/314","type-edition/expansion-commentary-added","und"
316,"taxonomy/term/315","type-edition/expansion-new-introduction","und"
317,"taxonomy/term/316","type-edition/expansion-glossary-added","und"
318,"taxonomy/term/317","type-edition/rewrite","und"
319,"taxonomy/term/318","type-edition/first-printing-manuscript","und"
320,"taxonomy/term/319","type-edition/other-additions","und"
321,"taxonomy/term/320","models/belles-lettres","und"
322,"taxonomy/term/321","models/allegory","und"
323,"taxonomy/term/322","models/novel","und"
324,"taxonomy/term/323","models/parable","und"
325,"taxonomy/term/324","models/biur","und"
326,"taxonomy/term/325","models/biblical-adaptation","und"
327,"taxonomy/term/326","models/biblical-history","und"
328,"taxonomy/term/327","models/biblical-stories","und"
329,"taxonomy/term/328","models/blessings","und"
330,"taxonomy/term/329","models/book-review","und"
331,"taxonomy/term/330","models/catechisms","und"
332,"taxonomy/term/331","models/dialogue","und"
333,"taxonomy/term/332","models/epistolary-literature","und"
334,"taxonomy/term/333","models/epistolary-literature-fictional","und"
335,"taxonomy/term/334","models/epistolary-literature-real","und"
336,"taxonomy/term/335","models/guidebook","und"
337,"taxonomy/term/336","models/informative-text","und"
338,"taxonomy/term/337","models/lecture","und"
339,"taxonomy/term/338","models/lexicon","und"
340,"taxonomy/term/339","models/dictionary","und"
341,"taxonomy/term/340","models/encyclopedia","und"
342,"taxonomy/term/341","models/manifesto","und"
343,"taxonomy/term/342","models/moral-literature","und"
344,"taxonomy/term/343","models/personal-writing","und"
345,"taxonomy/term/344","models/autobiography","und"
346,"taxonomy/term/345","models/biography","und"
347,"taxonomy/term/346","models/memoirs","und"
348,"taxonomy/term/347","models/play","und"
349,"taxonomy/term/348","models/comedy","und"
350,"taxonomy/term/349","models/purim-spiel","und"
351,"taxonomy/term/350","models/satire","und"
352,"taxonomy/term/351","models/poems","und"
353,"taxonomy/term/352","models/biblical-epic-poetry","und"
354,"taxonomy/term/353","models/elegies","und"
355,"taxonomy/term/354","models/piyyut","und"
356,"taxonomy/term/355","models/poems-special-occasions","und"
357,"taxonomy/term/356","models/prose-poems","und"
358,"taxonomy/term/357","models/meliza","und"
359,"taxonomy/term/358","models/other-poetry","und"
360,"taxonomy/term/359","models/polemics","und"
361,"taxonomy/term/360","models/proverbs-and-sayings","und"
362,"taxonomy/term/361","models/aphorisms","und"
363,"taxonomy/term/362","models/epigrams","und"
364,"taxonomy/term/363","models/proverbs","und"
365,"taxonomy/term/364","models/sayings","und"
366,"taxonomy/term/365","models/pseudo-commentary","und"
367,"taxonomy/term/366","models/religious-literature","und"
368,"taxonomy/term/367","models/aggadahmidrash","und"
369,"taxonomy/term/368","models/commentary","und"
370,"taxonomy/term/369","models/halachic-literature","und"
371,"taxonomy/term/370","models/liturgy","und"
372,"taxonomy/term/371","models/haggadah","und"
373,"taxonomy/term/372","models/prayers","und"
374,"taxonomy/term/373","models/selichot","und"
375,"taxonomy/term/374","models/tchines","und"
376,"taxonomy/term/375","models/report","und"
377,"taxonomy/term/376","models/riddles","und"
378,"taxonomy/term/377","models/scientific-literature","und"
379,"taxonomy/term/378","models/essay","und"
380,"taxonomy/term/379","models/treatise","und"
381,"taxonomy/term/380","models/scientific-text-model","und"
382,"taxonomy/term/381","models/concise-phrasing","und"
383,"taxonomy/term/382","models/frequent-use-numbers","und"
384,"taxonomy/term/383","models/professional-phrasing","und"
