"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_epilogue_value
"node","book",0,2165,2165,"und",0,0
"node","book",0,2166,2166,"und",0,0
"node","book",0,2167,2167,"und",0,0
"node","book",0,2168,2168,"und",0,0
"node","book",0,2169,2169,"und",0,1
"node","book",0,2170,2170,"und",0,0
"node","book",0,2171,2171,"und",0,0
"node","book",0,2172,2172,"und",0,0
"node","book",0,2173,2173,"und",0,0
"node","book",0,2174,2174,"und",0,0
"node","book",0,2175,2175,"und",0,0
"node","book",0,2176,2176,"und",0,0
"node","book",0,2177,2177,"und",0,0
"node","book",0,2178,2178,"und",0,0
"node","book",0,2179,2179,"und",0,0
"node","book",0,2180,2180,"und",0,0
"node","book",0,2181,2181,"und",0,0
"node","book",0,2182,2182,"und",0,0
"node","book",0,2183,2183,"und",0,0
"node","book",0,2184,2184,"und",0,0
"node","book",0,2185,2185,"und",0,0
"node","book",0,2186,2186,"und",0,0
"node","book",0,2187,2187,"und",0,0
"node","book",0,2188,2188,"und",0,0
"node","book",0,2189,2189,"und",0,0
"node","book",0,2190,2190,"und",0,0
"node","book",0,2191,2191,"und",0,0
"node","book",0,2192,2192,"und",0,0
"node","book",0,2193,2193,"und",0,0
"node","book",0,2194,2194,"und",0,0
"node","book",0,2195,2195,"und",0,0
"node","book",0,2196,2196,"und",0,0
"node","book",0,2198,2198,"und",0,1
"node","book",0,2199,2199,"und",0,0
"node","book",0,2201,2201,"und",0,0
"node","book",0,2202,2202,"und",0,0
"node","book",0,2203,2203,"und",0,0
"node","book",0,2204,2204,"und",0,0
"node","book",0,2205,2205,"und",0,0
"node","book",0,2206,2206,"und",0,0
"node","book",0,2207,2207,"und",0,0
"node","book",0,2208,2208,"und",0,0
"node","book",0,2209,2209,"und",0,0
"node","book",0,2210,2210,"und",0,0
"node","book",0,2211,2211,"und",0,0
"node","book",0,2212,2212,"und",0,0
"node","book",0,2213,2213,"und",0,0
"node","book",0,2214,2214,"und",0,0
"node","book",0,2215,2215,"und",0,0
"node","book",0,2216,2216,"und",0,0
"node","book",0,2217,2217,"und",0,0
"node","book",0,2218,2218,"und",0,0
"node","book",0,2219,2219,"und",0,0
"node","book",0,2220,2220,"und",0,0
"node","book",0,2221,2221,"und",0,0
"node","book",0,2222,2222,"und",0,0
"node","book",0,2223,2223,"und",0,0
"node","book",0,2224,2224,"und",0,0
"node","book",0,2225,2225,"und",0,0
"node","book",0,2226,2226,"und",0,0
"node","book",0,2227,2227,"und",0,0
"node","book",0,2228,2228,"und",0,0
"node","book",0,2229,2229,"und",0,0
"node","book",0,2230,2230,"und",0,0
"node","book",0,2232,2232,"und",0,0
"node","book",0,2233,2233,"und",0,0
"node","book",0,2234,2234,"und",0,0
"node","book",0,2235,2235,"und",0,0
"node","book",0,2236,2236,"und",0,0
"node","book",0,2237,2237,"und",0,1
"node","book",0,2238,2238,"und",0,0
"node","book",0,2239,2239,"und",0,0
"node","book",0,2240,2240,"und",0,0
"node","book",0,2241,2241,"und",0,0
"node","book",0,2242,2242,"und",0,0
"node","book",0,2243,2243,"und",0,0
"node","book",0,2245,2245,"und",0,0
"node","book",0,2246,2246,"und",0,0
"node","book",0,2247,2247,"und",0,0
"node","book",0,2248,2248,"und",0,1
"node","book",0,2249,2249,"und",0,0
"node","book",0,2250,2250,"und",0,1
"node","book",0,2251,2251,"und",0,0
"node","book",0,2253,2253,"und",0,0
"node","book",0,2254,2254,"und",0,0
"node","book",0,2255,2255,"und",0,0
"node","book",0,2256,2256,"und",0,0
"node","book",0,2258,2258,"und",0,0
"node","book",0,2259,2259,"und",0,0
"node","book",0,2260,2260,"und",0,1
"node","book",0,2262,2262,"und",0,1
"node","book",0,2263,2263,"und",0,0
"node","book",0,2264,2264,"und",0,0
"node","book",0,2266,2266,"und",0,0
"node","book",0,2267,2267,"und",0,0
"node","book",0,2268,2268,"und",0,0
"node","book",0,2269,2269,"und",0,0
"node","book",0,2270,2270,"und",0,0
"node","book",0,2271,2271,"und",0,0
"node","book",0,2272,2272,"und",0,0
"node","book",0,2273,2273,"und",0,0
"node","book",0,2274,2274,"und",0,0
"node","book",0,2275,2275,"und",0,0
"node","book",0,2276,2276,"und",0,0
"node","book",0,2277,2277,"und",0,0
"node","book",0,2278,2278,"und",0,0
"node","book",0,2279,2279,"und",0,0
"node","book",0,2280,2280,"und",0,1
"node","book",0,2281,2281,"und",0,0
"node","book",0,2282,2282,"und",0,0
"node","book",0,2283,2283,"und",0,0
"node","book",0,2284,2284,"und",0,0
"node","book",0,2285,2285,"und",0,1
"node","book",0,2286,2286,"und",0,0
"node","book",0,2287,2287,"und",0,0
"node","book",0,2288,2288,"und",0,0
"node","book",0,2289,2289,"und",0,0
"node","book",0,2290,2290,"und",0,0
"node","book",0,2291,2291,"und",0,0
"node","book",0,2292,2292,"und",0,1
"node","book",0,2293,2293,"und",0,0
"node","book",0,2294,2294,"und",0,0
"node","book",0,2295,2295,"und",0,0
"node","book",0,2296,2296,"und",0,0
"node","book",0,2297,2297,"und",0,0
"node","book",0,2298,2298,"und",0,0
"node","book",0,2299,2299,"und",0,0
"node","book",0,2300,2300,"und",0,0
"node","book",0,2302,2302,"und",0,0
"node","book",0,2303,2303,"und",0,0
"node","book",0,2304,2304,"und",0,0
"node","book",0,2305,2305,"und",0,0
"node","book",0,2307,2307,"und",0,0
"node","book",0,2309,2309,"und",0,0
"node","book",0,2311,2311,"und",0,1
"node","book",0,2312,2312,"und",0,0
"node","book",0,2313,2313,"und",0,0
"node","book",0,2314,2314,"und",0,0
"node","book",0,2316,2316,"und",0,0
"node","book",0,2317,2317,"und",0,0
"node","book",0,2318,2318,"und",0,0
"node","book",0,2319,2319,"und",0,0
"node","book",0,2320,2320,"und",0,0
"node","book",0,2321,2321,"und",0,0
"node","book",0,2322,2322,"und",0,0
"node","book",0,2323,2323,"und",0,0
"node","book",0,2324,2324,"und",0,0
"node","book",0,2325,2325,"und",0,0
"node","book",0,2326,2326,"und",0,0
"node","book",0,2327,2327,"und",0,0
"node","book",0,2328,2328,"und",0,0
"node","book",0,2329,2329,"und",0,0
"node","book",0,2330,2330,"und",0,0
"node","book",0,2331,2331,"und",0,0
"node","book",0,2332,2332,"und",0,0
"node","book",0,2333,2333,"und",0,0
"node","book",0,2334,2334,"und",0,0
"node","book",0,2335,2335,"und",0,0
"node","book",0,2336,2336,"und",0,0
"node","book",0,2337,2337,"und",0,0
"node","book",0,2338,2338,"und",0,0
"node","book",0,2339,2339,"und",0,0
"node","book",0,2340,2340,"und",0,0
"node","book",0,2341,2341,"und",0,0
"node","book",0,2342,2342,"und",0,0
"node","book",0,2343,2343,"und",0,0
"node","book",0,2344,2344,"und",0,0
"node","book",0,2346,2346,"und",0,0
"node","book",0,2347,2347,"und",0,0
"node","book",0,2348,2348,"und",0,0
"node","book",0,2349,2349,"und",0,0
"node","book",0,2350,2350,"und",0,0
"node","book",0,2351,2351,"und",0,0
"node","book",0,2352,2352,"und",0,0
"node","book",0,2353,2353,"und",0,0
"node","book",0,2355,2355,"und",0,0
"node","book",0,2356,2356,"und",0,0
"node","book",0,2357,2357,"und",0,0
"node","book",0,2358,2358,"und",0,1
"node","book",0,2359,2359,"und",0,0
"node","book",0,2360,2360,"und",0,0
"node","book",0,2361,2361,"und",0,1
"node","book",0,2362,2362,"und",0,0
"node","book",0,2363,2363,"und",0,1
"node","book",0,2364,2364,"und",0,0
"node","book",0,2365,2365,"und",0,0
"node","book",0,2366,2366,"und",0,0
"node","book",0,2367,2367,"und",0,0
"node","book",0,2368,2368,"und",0,0
"node","book",0,2369,2369,"und",0,0
"node","book",0,2370,2370,"und",0,0
"node","book",0,2371,2371,"und",0,0
"node","book",0,2372,2372,"und",0,0
"node","book",0,2373,2373,"und",0,1
"node","book",0,2374,2374,"und",0,0
"node","book",0,2375,2375,"und",0,0
"node","book",0,2376,2376,"und",0,1
"node","book",0,2378,2378,"und",0,0
"node","book",0,2379,2379,"und",0,0
"node","book",0,2380,2380,"und",0,0
"node","book",0,2381,2381,"und",0,0
"node","book",0,2382,2382,"und",0,0
"node","book",0,2384,2384,"und",0,0
"node","book",0,2385,2385,"und",0,0
"node","book",0,2386,2386,"und",0,0
"node","book",0,2387,2387,"und",0,0
"node","book",0,2388,2388,"und",0,0
"node","book",0,2389,2389,"und",0,0
"node","book",0,2390,2390,"und",0,0
"node","book",0,2391,2391,"und",0,0
"node","book",0,2393,2393,"und",0,0
"node","book",0,2394,2394,"und",0,0
"node","book",0,2395,2395,"und",0,0
"node","book",0,2397,2397,"und",0,0
"node","book",0,2398,2398,"und",0,0
"node","book",0,2399,2399,"und",0,1
"node","book",0,2400,2400,"und",0,1
"node","book",0,2401,2401,"und",0,0
"node","book",0,2402,2402,"und",0,0
"node","book",0,2403,2403,"und",0,0
"node","book",0,2404,2404,"und",0,0
"node","book",0,2405,2405,"und",0,0
"node","book",0,2406,2406,"und",0,0
"node","book",0,2407,2407,"und",0,0
"node","book",0,2408,2408,"und",0,0
"node","book",0,2409,2409,"und",0,0
"node","book",0,2410,2410,"und",0,0
"node","book",0,2411,2411,"und",0,1
"node","book",0,2412,2412,"und",0,0
"node","book",0,2413,2413,"und",0,0
"node","book",0,2414,2414,"und",0,1
"node","book",0,2415,2415,"und",0,0
"node","book",0,2416,2416,"und",0,0
"node","book",0,2417,2417,"und",0,0
"node","book",0,2418,2418,"und",0,1
"node","book",0,2419,2419,"und",0,0
"node","book",0,2420,2420,"und",0,0
"node","book",0,2421,2421,"und",0,0
"node","book",0,2422,2422,"und",0,1
"node","book",0,2423,2423,"und",0,1
"node","book",0,2424,2424,"und",0,0
"node","book",0,2425,2425,"und",0,0
"node","book",0,2426,2426,"und",0,0
"node","book",0,2427,2427,"und",0,0
"node","book",0,2428,2428,"und",0,0
"node","book",0,2429,2429,"und",0,0
"node","book",0,2430,2430,"und",0,0
"node","book",0,2431,2431,"und",0,0
"node","book",0,2432,2432,"und",0,0
"node","book",0,2433,2433,"und",0,0
"node","book",0,2434,2434,"und",0,0
"node","book",0,2435,2435,"und",0,0
"node","book",0,2436,2436,"und",0,0
"node","book",0,2437,2437,"und",0,0
"node","book",0,2438,2438,"und",0,0
"node","book",0,2439,2439,"und",0,0
"node","book",0,2440,2440,"und",0,0
"node","book",0,2441,2441,"und",0,0
"node","book",0,2442,2442,"und",0,0
"node","book",0,2443,2443,"und",0,0
"node","book",0,2444,2444,"und",0,0
"node","book",0,2445,2445,"und",0,0
"node","book",0,2446,2446,"und",0,0
"node","book",0,2447,2447,"und",0,0
"node","book",0,2448,2448,"und",0,0
"node","book",0,2449,2449,"und",0,0
"node","book",0,2450,2450,"und",0,0
"node","book",0,2451,2451,"und",0,0
"node","book",0,2452,2452,"und",0,0
"node","book",0,2453,2453,"und",0,0
"node","book",0,2454,2454,"und",0,0
"node","book",0,2455,2455,"und",0,0
"node","book",0,2456,2456,"und",0,0
"node","book",0,2457,2457,"und",0,0
"node","book",0,2458,2458,"und",0,0
"node","book",0,2459,2459,"und",0,0
"node","book",0,2460,2460,"und",0,0
"node","book",0,2461,2461,"und",0,0
"node","book",0,2462,2462,"und",0,0
"node","book",0,2463,2463,"und",0,1
"node","book",0,2464,2464,"und",0,0
"node","book",0,2465,2465,"und",0,0
"node","book",0,2466,2466,"und",0,0
"node","book",0,2468,2468,"und",0,0
"node","book",0,2469,2469,"und",0,1
"node","book",0,2470,2470,"und",0,0
"node","book",0,2471,2471,"und",0,0
"node","book",0,2472,2472,"und",0,0
"node","book",0,2473,2473,"und",0,0
"node","book",0,2474,2474,"und",0,0
"node","book",0,2475,2475,"und",0,0
"node","book",0,2476,2476,"und",0,0
"node","book",0,2477,2477,"und",0,0
"node","book",0,2478,2478,"und",0,0
"node","book",0,2479,2479,"und",0,0
"node","book",0,2480,2480,"und",0,0
"node","book",0,2481,2481,"und",0,0
"node","book",0,2482,2482,"und",0,0
"node","book",0,2483,2483,"und",0,0
"node","book",0,2484,2484,"und",0,0
"node","book",0,2485,2485,"und",0,0
"node","book",0,2486,2486,"und",0,0
"node","book",0,2487,2487,"und",0,0
