"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_mentionee_description_tid
"node","mention",0,3119,3119,"und",0,803
"node","mention",0,3120,3120,"und",0,803
"node","mention",0,3121,3121,"und",0,803
"node","mention",0,3122,3122,"und",0,803
"node","mention",0,3123,3123,"und",0,803
"node","mention",0,3124,3124,"und",0,803
"node","mention",0,3125,3125,"und",0,803
"node","mention",0,3126,3126,"und",0,803
"node","mention",0,3127,3127,"und",0,803
"node","mention",0,3128,3128,"und",0,803
"node","mention",0,3129,3129,"und",0,803
"node","mention",0,3130,3130,"und",0,803
"node","mention",0,3131,3131,"und",0,803
"node","mention",0,3132,3132,"und",0,803
"node","mention",0,3133,3133,"und",0,803
"node","mention",0,3134,3134,"und",0,803
"node","mention",0,3135,3135,"und",0,803
"node","mention",0,3136,3136,"und",0,803
"node","mention",0,3137,3137,"und",0,803
"node","mention",0,3138,3138,"und",0,803
"node","mention",0,3139,3139,"und",0,803
"node","mention",0,3140,3140,"und",0,803
"node","mention",0,3141,3141,"und",0,803
"node","mention",0,3142,3142,"und",0,803
"node","mention",0,3143,3143,"und",0,803
"node","mention",0,3144,3144,"und",0,803
"node","mention",0,3145,3145,"und",0,803
"node","mention",0,3146,3146,"und",0,803
"node","mention",0,3147,3147,"und",0,803
"node","mention",0,3148,3148,"und",0,803
"node","mention",0,3149,3149,"und",0,803
"node","mention",0,3150,3150,"und",0,803
"node","mention",0,3151,3151,"und",0,803
"node","mention",0,3152,3152,"und",0,803
"node","mention",0,3153,3153,"und",0,803
"node","mention",0,3154,3154,"und",0,803
"node","mention",0,3155,3155,"und",0,803
"node","mention",0,3156,3156,"und",0,803
"node","mention",0,3157,3157,"und",0,803
"node","mention",0,3158,3158,"und",0,803
"node","mention",0,3159,3159,"und",0,803
"node","mention",0,3160,3160,"und",0,803
"node","mention",0,3161,3161,"und",0,803
"node","mention",0,3162,3162,"und",0,803
"node","mention",0,3163,3163,"und",0,803
"node","mention",0,3164,3164,"und",0,803
"node","mention",0,3165,3165,"und",0,803
"node","mention",0,3166,3166,"und",0,803
"node","mention",0,3167,3167,"und",0,803
"node","mention",0,3168,3168,"und",0,803
"node","mention",0,3169,3169,"und",0,803
"node","mention",0,3170,3170,"und",0,803
"node","mention",0,3171,3171,"und",0,803
"node","mention",0,3172,3172,"und",0,803
"node","mention",0,3173,3173,"und",0,803
"node","mention",0,3174,3174,"und",0,803
"node","mention",0,3175,3175,"und",0,803
"node","mention",0,3176,3176,"und",0,803
"node","mention",0,3177,3177,"und",0,803
"node","mention",0,3178,3178,"und",0,803
"node","mention",0,3179,3179,"und",0,803
"node","mention",0,3180,3180,"und",0,803
"node","mention",0,3181,3181,"und",0,803
"node","mention",0,3182,3182,"und",0,803
"node","mention",0,3183,3183,"und",0,803
"node","mention",0,3184,3184,"und",0,803
"node","mention",0,3185,3185,"und",0,803
"node","mention",0,3186,3186,"und",0,803
"node","mention",0,3187,3187,"und",0,803
"node","mention",0,3188,3188,"und",0,803
"node","mention",0,3189,3189,"und",0,803
"node","mention",0,3190,3190,"und",0,803
"node","mention",0,3191,3191,"und",0,803
"node","mention",0,3192,3192,"und",0,803
"node","mention",0,3193,3193,"und",0,803
"node","mention",0,3194,3194,"und",0,803
"node","mention",0,3195,3195,"und",0,803
"node","mention",0,3196,3196,"und",0,803
"node","mention",0,3197,3197,"und",0,803
"node","mention",0,3198,3198,"und",0,803
"node","mention",0,3199,3199,"und",0,803
"node","mention",0,3200,3200,"und",0,803
"node","mention",0,3201,3201,"und",0,803
"node","mention",0,3202,3202,"und",0,803
"node","mention",0,3203,3203,"und",0,803
"node","mention",0,3204,3204,"und",0,803
"node","mention",0,3206,3206,"und",0,803
"node","mention",0,3207,3207,"und",0,803
"node","mention",0,3208,3208,"und",0,803
"node","mention",0,3209,3209,"und",0,803
"node","mention",0,3210,3210,"und",0,803
"node","mention",0,3211,3211,"und",0,803
"node","mention",0,3212,3212,"und",0,803
"node","mention",0,3213,3213,"und",0,803
"node","mention",0,3214,3214,"und",0,803
"node","mention",0,3215,3215,"und",0,803
"node","mention",0,3216,3216,"und",0,803
"node","mention",0,3217,3217,"und",0,803
"node","mention",0,3218,3218,"und",0,803
"node","mention",0,3219,3219,"und",0,803
"node","mention",0,3220,3220,"und",0,803
"node","mention",0,3221,3221,"und",0,803
"node","mention",0,3222,3222,"und",0,803
"node","mention",0,3223,3223,"und",0,803
"node","mention",0,3224,3224,"und",0,803
"node","mention",0,3225,3225,"und",0,803
"node","mention",0,3226,3226,"und",0,803
"node","mention",0,3227,3227,"und",0,803
"node","mention",0,3228,3228,"und",0,803
"node","mention",0,3229,3229,"und",0,803
"node","mention",0,3230,3230,"und",0,803
"node","mention",0,3231,3231,"und",0,803
"node","mention",0,3232,3232,"und",0,803
"node","mention",0,3233,3233,"und",0,803
"node","mention",0,3234,3234,"und",0,803
"node","mention",0,3235,3235,"und",0,803
"node","mention",0,3236,3236,"und",0,803
"node","mention",0,3237,3237,"und",0,803
"node","mention",0,3238,3238,"und",0,803
"node","mention",0,3239,3239,"und",0,803
"node","mention",0,3240,3240,"und",0,803
"node","mention",0,3241,3241,"und",0,803
"node","mention",0,3242,3242,"und",0,803
"node","mention",0,3243,3243,"und",0,803
"node","mention",0,3244,3244,"und",0,803
"node","mention",0,3245,3245,"und",0,803
"node","mention",0,3246,3246,"und",0,803
"node","mention",0,3247,3247,"und",0,803
"node","mention",0,3248,3248,"und",0,803
"node","mention",0,3249,3249,"und",0,803
"node","mention",0,3250,3250,"und",0,803
"node","mention",0,3251,3251,"und",0,803
"node","mention",0,3252,3252,"und",0,803
"node","mention",0,3253,3253,"und",0,803
"node","mention",0,3254,3254,"und",0,803
"node","mention",0,3255,3255,"und",0,803
"node","mention",0,3256,3256,"und",0,803
"node","mention",0,3257,3257,"und",0,803
"node","mention",0,3258,3258,"und",0,803
"node","mention",0,3259,3259,"und",0,803
"node","mention",0,3260,3260,"und",0,803
"node","mention",0,3261,3261,"und",0,803
"node","mention",0,3262,3262,"und",0,803
"node","mention",0,3263,3263,"und",0,803
"node","mention",0,3264,3264,"und",0,803
"node","mention",0,3265,3265,"und",0,803
"node","mention",0,3266,3266,"und",0,803
"node","mention",0,3267,3267,"und",0,803
"node","mention",0,3268,3268,"und",0,803
"node","mention",0,3269,3269,"und",0,803
"node","mention",0,3270,3270,"und",0,803
"node","mention",0,3271,3271,"und",0,803
"node","mention",0,3272,3272,"und",0,803
"node","mention",0,3273,3273,"und",0,803
"node","mention",0,3274,3274,"und",0,803
"node","mention",0,3275,3275,"und",0,803
"node","mention",0,3276,3276,"und",0,803
