"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_edition_references_value","field_edition_references_format"
"node","edition",0,2713,2713,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2714,2714,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2715,2715,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2716,2716,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2717,2717,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2718,2718,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2719,2719,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2720,2720,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2721,2721,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2722,2722,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2723,2723,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2724,2724,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2725,2725,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2726,2726,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2727,2727,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2728,2728,"und",0,"ראו MMGS 15, 1, pp. CII ff",NULL
"node","edition",0,2729,2729,"und",0,"IUL",NULL
"node","edition",0,2730,2730,"und",0,"וינוגרד",NULL
"node","edition",0,2731,2731,"und",0,"וינוגרד",NULL
"node","edition",0,2732,2732,"und",0,"וינוגרד",NULL
"node","edition",0,2733,2733,"und",0,"IUL",NULL
"node","edition",0,2734,2734,"und",0,"IUL",NULL
"node","edition",0,2735,2735,"und",0,"IUL",NULL
"node","edition",0,2736,2736,"und",0,"IUL",NULL
"node","edition",0,2737,2737,"und",0,"IUL",NULL
"node","edition",0,2738,2738,"und",0,"IUL",NULL
"node","edition",0,2739,2739,"und",0,"IUL",NULL
"node","edition",0,2740,2740,"und",0,"IUL",NULL
"node","edition",0,2741,2741,"und",0,"IUL",NULL
"node","edition",0,2742,2742,"und",0,"IUL",NULL
"node","edition",0,2744,2744,"und",0,"IUL",NULL
"node","edition",0,2745,2745,"und",0,"IUL",NULL
"node","edition",0,2747,2747,"und",0,"וינוגרד",NULL
"node","edition",0,2748,2748,"und",0,"וינוגרד",NULL
"node","edition",0,2753,2753,"und",0,"IUL",NULL
"node","edition",0,2754,2754,"und",0,"IUL",NULL
"node","edition",0,2755,2755,"und",0,"IUL",NULL
"node","edition",0,2756,2756,"und",0,"IUL",NULL
"node","edition",0,2757,2757,"und",0,"IUL",NULL
"node","edition",0,2759,2759,"und",0,"בשם חדש: מחקרי לשון, עם הערות ותוספות של אד\"ם הכהן לבנזון (ספריית ת\"א, מהלמן, 492.408 לוי)",NULL
"node","edition",0,2760,2760,"und",0,"וינוגרד",NULL
"node","edition",0,2761,2761,"und",0,"וינוגרד",NULL
"node","edition",0,2762,2762,"und",0,"וינוגרד",NULL
"node","edition",0,2763,2763,"und",0,"וינוגרד",NULL
"node","edition",0,2764,2764,"und",0,"וינוגרד ( אך הוא לא מציין את ההוצאה הראשונה של חלק ב', ברלין תקנ\"א)",NULL
"node","edition",0,2765,2765,"und",0,"וינוגרד",NULL
"node","edition",0,2766,2766,"und",0,"וינוגרד",NULL
"node","edition",0,2767,2767,"und",0,"וינוגרד",NULL
"node","edition",0,2768,2768,"und",0,"וינוגרד",NULL
"node","edition",0,2769,2769,"und",0,"וינוגרד",NULL
"node","edition",0,2770,2770,"und",0,"וינוגרד",NULL
"node","edition",0,2771,2771,"und",0,"וינוגרד",NULL
"node","edition",0,2772,2772,"und",0,"וינוגרד",NULL
"node","edition",0,2773,2773,"und",0,"וינוגרד",NULL
"node","edition",0,2774,2774,"und",0,"וינוגרד",NULL
"node","edition",0,2775,2775,"und",0,"וינוגרד",NULL
"node","edition",0,2776,2776,"und",0,"וינוגרד",NULL
"node","edition",0,2777,2777,"und",0,"וינוגרד",NULL
"node","edition",0,2778,2778,"und",0,"וינוגרד",NULL
"node","edition",0,2779,2779,"und",0,"וינוגרד",NULL
"node","edition",0,2780,2780,"und",0,"וינוגרד",NULL
"node","edition",0,2781,2781,"und",0,"וינוגרד",NULL
"node","edition",0,2782,2782,"und",0,"וינוגרד",NULL
"node","edition",0,2783,2783,"und",0,"וינוגרד",NULL
"node","edition",0,2784,2784,"und",0,"IUL",NULL
"node","edition",0,2785,2785,"und",0,"וינוגרד",NULL
"node","edition",0,2786,2786,"und",0,"IUL,  וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
"node","edition",0,2787,2787,"und",0,"IUL,  וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
