"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_topic_tid
"node","book",0,2119,2119,"und",0,489
"node","book",0,2119,2119,"und",1,459
"node","book",0,2119,2119,"und",2,518
"node","book",0,2120,2120,"und",0,489
"node","book",0,2120,2120,"und",1,459
"node","book",0,2120,2120,"und",2,518
"node","book",0,2121,2121,"und",0,453
"node","book",0,2121,2121,"und",1,460
"node","book",0,2122,2122,"und",0,627
"node","book",0,2123,2123,"und",0,516
"node","book",0,2123,2123,"und",1,629
"node","book",0,2123,2123,"und",2,533
"node","book",0,2123,2123,"und",3,478
"node","book",0,2123,2123,"und",4,461
"node","book",0,2124,2124,"und",0,619
"node","book",0,2124,2124,"und",1,623
"node","book",0,2124,2124,"und",2,476
"node","book",0,2124,2124,"und",3,565
"node","book",0,2124,2124,"und",4,434
"node","book",0,2124,2124,"und",5,478
"node","book",0,2124,2124,"und",6,492
"node","book",0,2125,2125,"und",0,631
"node","book",0,2125,2125,"und",1,485
"node","book",0,2125,2125,"und",2,453
"node","book",0,2126,2126,"und",0,453
"node","book",0,2126,2126,"und",1,486
"node","book",0,2128,2128,"und",0,444
"node","book",0,2128,2128,"und",1,485
"node","book",0,2128,2128,"und",2,453
"node","book",0,2129,2129,"und",0,460
"node","book",0,2129,2129,"und",1,478
"node","book",0,2129,2129,"und",2,461
"node","book",0,2130,2130,"und",0,550
"node","book",0,2130,2130,"und",1,580
"node","book",0,2130,2130,"und",2,485
"node","book",0,2130,2130,"und",3,453
"node","book",0,2131,2131,"und",0,490
"node","book",0,2131,2131,"und",1,459
"node","book",0,2131,2131,"und",2,529
"node","book",0,2133,2133,"und",0,634
"node","book",0,2133,2133,"und",1,635
"node","book",0,2133,2133,"und",2,636
"node","book",0,2134,2134,"und",0,516
"node","book",0,2134,2134,"und",1,453
"node","book",0,2136,2136,"und",0,516
"node","book",0,2136,2136,"und",1,453
"node","book",0,2137,2137,"und",0,473
"node","book",0,2137,2137,"und",1,434
"node","book",0,2137,2137,"und",2,478
"node","book",0,2139,2139,"und",0,623
"node","book",0,2139,2139,"und",1,516
"node","book",0,2139,2139,"und",2,620
"node","book",0,2139,2139,"und",3,453
"node","book",0,2139,2139,"und",4,528
"node","book",0,2139,2139,"und",5,431
"node","book",0,2139,2139,"und",6,518
"node","book",0,2139,2139,"und",7,639
"node","book",0,2139,2139,"und",8,520
"node","book",0,2140,2140,"und",0,624
"node","book",0,2140,2140,"und",1,453
"node","book",0,2140,2140,"und",2,524
"node","book",0,2141,2141,"und",0,459
"node","book",0,2141,2141,"und",1,518
"node","book",0,2142,2142,"und",0,629
"node","book",0,2142,2142,"und",1,434
"node","book",0,2143,2143,"und",0,642
"node","book",0,2143,2143,"und",1,518
"node","book",0,2144,2144,"und",0,643
"node","book",0,2144,2144,"und",1,478
"node","book",0,2144,2144,"und",2,548
"node","book",0,2149,2149,"und",0,491
"node","book",0,2149,2149,"und",1,635
"node","book",0,2152,2152,"und",0,460
"node","book",0,2152,2152,"und",1,461
"node","book",0,2153,2153,"und",0,460
"node","book",0,2154,2154,"und",0,648
"node","book",0,2154,2154,"und",1,460
"node","book",0,2154,2154,"und",2,422
"node","book",0,2154,2154,"und",3,649
"node","book",0,2154,2154,"und",4,461
"node","book",0,2155,2155,"und",0,453
"node","book",0,2155,2155,"und",1,434
"node","book",0,2155,2155,"und",2,478
"node","book",0,2157,2157,"und",0,431
"node","book",0,2158,2158,"und",0,453
"node","book",0,2159,2159,"und",0,595
"node","book",0,2159,2159,"und",1,651
"node","book",0,2161,2161,"und",0,445
"node","book",0,2161,2161,"und",1,547
"node","book",0,2161,2161,"und",2,639
"node","book",0,2161,2161,"und",3,520
"node","book",0,2162,2162,"und",0,594
"node","book",0,2162,2162,"und",1,459
"node","book",0,2162,2162,"und",2,586
"node","book",0,2162,2162,"und",3,453
"node","book",0,2162,2162,"und",4,434
"node","book",0,2164,2164,"und",0,453
"node","book",0,2165,2165,"und",0,489
"node","book",0,2165,2165,"und",1,491
"node","book",0,2165,2165,"und",2,453
"node","book",0,2166,2166,"und",0,548
"node","book",0,2168,2168,"und",0,460
"node","book",0,2169,2169,"und",0,453
"node","book",0,2170,2170,"und",0,453
"node","book",0,2171,2171,"und",0,453
"node","book",0,2172,2172,"und",0,459
"node","book",0,2174,2174,"und",0,660
"node","book",0,2174,2174,"und",1,516
"node","book",0,2174,2174,"und",2,568
"node","book",0,2174,2174,"und",3,481
"node","book",0,2174,2174,"und",4,548
"node","book",0,2175,2175,"und",0,631
"node","book",0,2175,2175,"und",1,492
"node","book",0,2176,2176,"und",0,661
"node","book",0,2176,2176,"und",1,662
"node","book",0,2177,2177,"und",0,663
"node","book",0,2178,2178,"und",0,489
"node","book",0,2178,2178,"und",1,478
"node","book",0,2179,2179,"und",0,459
"node","book",0,2179,2179,"und",1,622
"node","book",0,2179,2179,"und",2,664
"node","book",0,2180,2180,"und",0,594
"node","book",0,2180,2180,"und",1,573
"node","book",0,2182,2182,"und",0,594
"node","book",0,2182,2182,"und",1,667
"node","book",0,2183,2183,"und",0,594
"node","book",0,2183,2183,"und",1,667
"node","book",0,2185,2185,"und",0,459
"node","book",0,2185,2185,"und",1,453
"node","book",0,2186,2186,"und",0,421
"node","book",0,2188,2188,"und",0,421
"node","book",0,2188,2188,"und",1,551
"node","book",0,2189,2189,"und",0,551
"node","book",0,2189,2189,"und",1,529
"node","book",0,2192,2192,"und",0,594
"node","book",0,2194,2194,"und",0,524
"node","book",0,2194,2194,"und",1,672
"node","book",0,2195,2195,"und",0,453
"node","book",0,2195,2195,"und",1,567
"node","book",0,2195,2195,"und",2,478
"node","book",0,2196,2196,"und",0,489
"node","book",0,2196,2196,"und",1,530
"node","book",0,2196,2196,"und",2,490
"node","book",0,2196,2196,"und",3,491
"node","book",0,2196,2196,"und",4,478
"node","book",0,2196,2196,"und",5,529
"node","book",0,2198,2198,"und",0,459
"node","book",0,2199,2199,"und",0,453
"node","book",0,2199,2199,"und",1,434
"node","book",0,2199,2199,"und",2,478
"node","book",0,2201,2201,"und",0,489
"node","book",0,2201,2201,"und",1,530
"node","book",0,2202,2202,"und",0,476
"node","book",0,2202,2202,"und",1,675
"node","book",0,2202,2202,"und",2,453
"node","book",0,2202,2202,"und",3,528
"node","book",0,2202,2202,"und",4,676
"node","book",0,2202,2202,"und",5,435
"node","book",0,2202,2202,"und",6,478
"node","book",0,2204,2204,"und",0,489
"node","book",0,2204,2204,"und",1,530
"node","book",0,2204,2204,"und",2,507
"node","book",0,2205,2205,"und",0,489
"node","book",0,2205,2205,"und",1,459
"node","book",0,2205,2205,"und",2,492
"node","book",0,2206,2206,"und",0,459
"node","book",0,2206,2206,"und",1,518
"node","book",0,2207,2207,"und",0,459
"node","book",0,2207,2207,"und",1,518
"node","book",0,2208,2208,"und",0,460
"node","book",0,2209,2209,"und",0,485
"node","book",0,2209,2209,"und",1,453
"node","book",0,2209,2209,"und",2,520
"node","book",0,2210,2210,"und",0,453
"node","book",0,2211,2211,"und",0,619
"node","book",0,2211,2211,"und",1,453
"node","book",0,2211,2211,"und",2,481
"node","book",0,2212,2212,"und",0,486
"node","book",0,2214,2214,"und",0,434
"node","book",0,2214,2214,"und",1,478
"node","book",0,2215,2215,"und",0,476
"node","book",0,2215,2215,"und",1,459
"node","book",0,2215,2215,"und",2,434
"node","book",0,2215,2215,"und",3,680
"node","book",0,2216,2216,"und",0,460
