"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_hebrew_name_value","field_hebrew_name_format"
"node","person",0,661,661,"und",0,"אלי' בן יוסף ז\"ל אב\"ד דק\"ק קעמפנא",NULL
"node","person",0,662,662,"und",0,"אלי' ברי\"ץ פרידבערג (הרופא)",NULL
"node","person",0,663,663,"und",0,"אלי' העכים (העכים, אליהו)",NULL
"node","person",0,664,664,"und",0,"אלי' ווערטהיים",NULL
"node","person",0,665,665,"und",0,"אלי' חיות",NULL
"node","person",0,666,666,"und",0,"אלי' טארנער",NULL
"node","person",0,667,667,"und",0,"אלי' טורלוך",NULL
"node","person",0,668,668,"und",0,"אלי' לוי",NULL
"node","person",0,669,669,"und",0,"אלי' מ\"ב בפ\"פ דאדר",NULL
"node","person",0,670,670,"und",0,"אלי' מפוזנא (דיין בפרנקפורט ע\"נ אודר [חונה בלאנצבורג])",NULL
"node","person",0,671,671,"und",0,"אלי' מפוזנא (הצעיר)",NULL
"node","person",0,672,672,"und",0,"אלי' רויזכין",NULL
"node","person",0,674,674,"und",0,"אליהו בר\"מ",NULL
"node","person",0,675,675,"und",0,"אליהו מורפורגו",NULL
"node","person",0,676,676,"und",0,"אליעזר בהרב ה\"ג מה\"ר\"א",NULL
"node","person",0,677,677,"und",0,"אליעזר בן יצחק",NULL
"node","person",0,678,678,"und",0,"אליעזר בן שמואל זנוויל ברוק",NULL
"node","person",0,679,679,"und",0,"פלעקלס (ראש בית דין קהילת פראג), אליעזר",NULL
"node","person",0,680,680,"und",0,"אלכסנדר",NULL
"node","person",0,681,681,"und",0,"אלכסנדר זיסל הלוי",NULL
"node","person",0,682,682,"und",0,"אלכסנדר סענדר מרגלית",NULL
"node","person",0,683,683,"und",0,"אלעזר בער פורכהיים",NULL
"node","person",0,684,684,"und",0,"אלעזר פלעקלש",NULL
"node","person",0,685,685,"und",0,"אלעזר קאליר (רב)",NULL
"node","person",0,686,686,"und",0,"קאליר (רב), אלעזר",NULL
"node","person",0,687,687,"und",0,"אלקנה מאיר בן מהו' בצלאל (זעציר [מזלקווא ולע\"ע פה ק\"ק ברלין])",NULL
"node","person",0,688,688,"und",0,"אמסאן היימאן",NULL
"node","person",0,691,691,"und",0,"אנריאיטה בת דניאל יפה",NULL
"node","person",0,692,692,"und",0,"אנשיל ב\"ר יוסף ליב נייאבורג",NULL
"node","person",0,693,693,"und",0,"אנשיל גונציהויזען",NULL
"node","person",0,694,694,"und",0,"אנשיל עשווא",NULL
"node","person",0,695,695,"und",0,"אנשל לוי",NULL
"node","person",0,696,696,"und",0,"אעבל פ\"ד",NULL
"node","person",0,697,697,"und",0,"אפרים בר\"פ",NULL
"node","person",0,698,698,"und",0,"אפרים ברי\"ל",NULL
"node","person",0,699,699,"und",0,"אפרים מדעסא",NULL
"node","person",0,700,700,"und",0,"אפרים פישל (ככל הנראה, דמות בדוייה)",NULL
"node","person",0,701,701,"und",0,"אראן פאלאק",NULL
"node","person",0,702,702,"und",0,"אראן פריעדלענדער",NULL
"node","person",0,703,703,"und",0,"ארהן בער קוטן פלון",NULL
"node","person",0,704,704,"und",0,"ארי' ליב (ברהב מוהר\"י בערוש יצ\"ו)",NULL
"node","person",0,705,705,"und",0,"ליב (אב\"ד ור\"מ דק\"ק אשכנזים אמסטרדם), ארי'",NULL
"node","person",0,706,706,"und",0,"ארי' ליב ברעסלא",NULL
