"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_geolocation_lat,field_geolocation_lng,field_geolocation_lat_sin,field_geolocation_lat_cos,field_geolocation_lng_rad
"taxonomy_term","cities",0,220,220,"und",0,53.11125,9.41082,0.79980253530671,0.60026319603733,0.16424979431253
"taxonomy_term","cities",0,221,221,"und",0,51.9225,4.47917,0.78717727069902,0.61672679891087,0.078176264256554
"taxonomy_term","cities",0,225,225,"und",0,51.67745,11.56795,0.78453238224307,0.6200878495923,0.20189881520608
"taxonomy_term","cities",0,231,231,"und",0,53.62937,11.41316,0.80519788001582,0.59300621752055,0.19919722005692
"taxonomy_term","cities",0,233,233,"und",0,51.89095,10.17847,0.78683754991115,0.61716016563759,0.17764781431547
"taxonomy_term","cities",0,234,234,"und",0,51.52517,14.00164,0.78288155161761,0.62217077730862,0.24437471867894
"taxonomy_term","cities",0,236,236,"und",0,50.87481,8.02431,0.7757690564402,0.63101693405953,0.14005062970071
"taxonomy_term","cities",0,238,238,"und",0,53.0869,25.3163,0.79954735862763,0.6006030480372,0.44185278942264
"taxonomy_term","cities",0,240,240,"und",0,46.93833,12.89778,0.73061921290012,0.68278515342764,0.22510872719787
"taxonomy_term","cities",0,241,241,"und",0,53.28195,14.9663,0.80158733345725,0.59787770224428,0.26121121184123
"taxonomy_term","cities",0,242,242,"und",0,-23.2879,29.2649,-0.39535153179231,0.91852989407502,0.51076886026689
"taxonomy_term","cities",0,243,243,"und",0,59.5,18,0.86162916044153,0.5075383629607,0.31415926535898
"taxonomy_term","cities",0,244,244,"und",0,54.30911,13.0818,0.81217629938417,0.5834120831099,0.22832048208739
"taxonomy_term","cities",0,245,245,"und",0,48.58392,7.74553,0.74992544361561,0.66152235715653,0.135185000812
"taxonomy_term","cities",0,247,247,"und",0,48.77667,9.1775,0.75214663785302,0.6589957778062,0.16017759210178
"taxonomy_term","cities",0,248,248,"und",0,50.17218,27.12516,0.7679726273934,0.64048266453861,0.47342335213027
"taxonomy_term","cities",0,249,249,"und",0,49.29882,7.05696,0.75812090614512,0.6521140173817,0.12316718718154
"taxonomy_term","cities",0,252,252,"und",0,27.14057,74.12707,0.4561751349326,0.88989001919857,1.2937614363563
"taxonomy_term","cities",0,253,253,"und",0,52.70003,-105.38386,0.79547379814957,0.60598798375669,-1.8392953354608
"taxonomy_term","cities",0,254,254,"und",0,32.08088,34.78057,0.53111585945978,0.84729920561175,0.60703546222036
"taxonomy_term","cities",0,255,255,"und",0,53.93171,11.71365,0.80831584727097,0.58874909006351,0.20444175992623
"taxonomy_term","cities",0,256,256,"und",0,52.07667,4.29861,0.78883389151419,0.6146064526171,0.075024897759153
"taxonomy_term","cities",0,258,258,"und",0,45.05,7.66667,0.70772357893668,0.70648944494384,0.13380863416387
"taxonomy_term","cities",0,260,260,"und",0,50.98333,9.91667,0.77696283007332,0.62954647221984,0.17307854233375
"taxonomy_term","cities",0,261,261,"und",0,45.6433,13.7903,0.7150012304296,0.69912319406822,0.24068613983777
"taxonomy_term","cities",0,266,266,"und",0,48.52266,9.05222,0.74921772287743,0.66232379069935,0.15799104361488
"taxonomy_term","cities",0,268,268,"und",0,45.07049,7.68682,0.7079761869924,0.70623630510736,0.13416031800815
"taxonomy_term","cities",0,269,269,"und",0,47.59628,15.32825,0.7384115591453,0.67435033129717,0.26752843106882
"taxonomy_term","cities",0,270,270,"und",0,51.63465,22.49859,0.78406895720352,0.62067372294127,0.39267447255627
"taxonomy_term","cities",0,271,271,"und",0,52.09083,5.12222,0.78898576041447,0.61441148252877,0.089399604011504
"taxonomy_term","cities",0,272,272,"und",0,45.43713,12.33265,0.71248092024102,0.70169148369672,0.21524534799608
"taxonomy_term","cities",0,273,273,"und",0,48.20849,16.37208,0.74557475724899,0.66642199945163,0.28574670139991
"taxonomy_term","cities",0,274,274,"und",0,54.68916,25.2798,0.81602824845751,0.57801202212356,0.44121574424566
"taxonomy_term","cities",0,276,276,"und",0,52.22977,21.01178,0.7904733627193,0.61249641862728,0.36672474270469
"taxonomy_term","cities",0,278,278,"und",0,49.47866,9.89977,0.76016402381898,0.64973121896007,0.17278358169016
"taxonomy_term","cities",0,279,279,"und",0,48.2082,16.37169,0.74557138417459,0.66642577313605,0.28573989461583
"taxonomy_term","cities",0,280,280,"und",0,52.43964,17.77264,0.79271158173095,0.60959687350708,0.31019108477164
"taxonomy_term","cities",0,282,282,"und",0,49.63278,8.35916,0.76190898454666,0.64768410453483,0.14589486470101
"taxonomy_term","cities",0,283,283,"und",0,52.72091,14.13425,0.79569458234124,0.60569805318558,0.24668919980001
"taxonomy_term","cities",0,284,284,"und",0,49.79391,9.95121,0.76372741826665,0.64553886837879,0.17368137905738
"taxonomy_term","cities",0,285,285,"und",0,50.72314,23.25196,0.77409594962819,0.63306829076272,0.40582325954202
"taxonomy_term","cities",0,286,286,"und",0,48.69235,8.06301,0.75117600491075,0.66010196912774,0.14072607212123
"taxonomy_term","cities",0,287,287,"und",0,50.05825,23.9726,0.76669753990054,0.64200847526373,0.41840080026359
"taxonomy_term","cities",0,288,288,"und",0,49.80597,24.89436,0.76386327869846,0.64537809960986,0.43448854717678
"taxonomy_term","cities",0,291,291,"und",0,47.38283,8.53071,0.73589421259606,0.67709652773266,0.14888897703281
