"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_book_target_id
"node","mention",0,2927,2927,"und",0,1997
"node","mention",0,2928,2928,"und",0,1997
"node","mention",0,2929,2929,"und",0,1997
"node","mention",0,2930,2930,"und",0,1997
"node","mention",0,2931,2931,"und",0,1997
"node","mention",0,2932,2932,"und",0,1997
"node","mention",0,2933,2933,"und",0,1997
"node","mention",0,2934,2934,"und",0,1997
"node","mention",0,2935,2935,"und",0,1997
"node","mention",0,2936,2936,"und",0,1997
"node","mention",0,2937,2937,"und",0,1997
"node","mention",0,2938,2938,"und",0,1997
"node","mention",0,2939,2939,"und",0,1997
"node","mention",0,2940,2940,"und",0,1997
"node","mention",0,2941,2941,"und",0,1997
"node","mention",0,2942,2942,"und",0,1997
"node","mention",0,2943,2943,"und",0,1997
"node","mention",0,2944,2944,"und",0,1997
"node","mention",0,2945,2945,"und",0,1997
"node","mention",0,2946,2946,"und",0,1997
"node","mention",0,2947,2947,"und",0,1997
"node","mention",0,2948,2948,"und",0,1997
"node","mention",0,2949,2949,"und",0,1997
"node","mention",0,2950,2950,"und",0,1997
"node","mention",0,2951,2951,"und",0,1997
"node","mention",0,2952,2952,"und",0,1997
"node","mention",0,2953,2953,"und",0,1997
"node","mention",0,2954,2954,"und",0,1997
"node","mention",0,2955,2955,"und",0,1997
"node","mention",0,2956,2956,"und",0,1997
"node","mention",0,2957,2957,"und",0,1997
"node","mention",0,2958,2958,"und",0,1997
"node","mention",0,2959,2959,"und",0,1997
"node","mention",0,2960,2960,"und",0,1997
"node","mention",0,2961,2961,"und",0,1997
"node","mention",0,2962,2962,"und",0,1997
"node","mention",0,2963,2963,"und",0,1997
"node","mention",0,2964,2964,"und",0,1997
"node","mention",0,2965,2965,"und",0,1997
"node","mention",0,2966,2966,"und",0,1997
"node","mention",0,2967,2967,"und",0,1997
"node","mention",0,2968,2968,"und",0,1997
"node","mention",0,2969,2969,"und",0,1997
"node","mention",0,2970,2970,"und",0,1997
"node","mention",0,2971,2971,"und",0,1997
"node","mention",0,2972,2972,"und",0,1997
"node","mention",0,2973,2973,"und",0,1997
"node","mention",0,2974,2974,"und",0,1997
"node","mention",0,2975,2975,"und",0,1997
"node","mention",0,2976,2976,"und",0,1997
"node","mention",0,2977,2977,"und",0,1997
"node","mention",0,2978,2978,"und",0,1997
"node","mention",0,2979,2979,"und",0,1997
"node","mention",0,2980,2980,"und",0,1997
"node","mention",0,2981,2981,"und",0,1997
"node","mention",0,2982,2982,"und",0,1997
"node","mention",0,2983,2983,"und",0,1997
"node","mention",0,2984,2984,"und",0,1997
"node","mention",0,2985,2985,"und",0,1997
"node","mention",0,2986,2986,"und",0,1997
"node","mention",0,2987,2987,"und",0,1997
