"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_copy_of_book_used_value","field_copy_of_book_used_format"
"node","book",0,2166,2166,"und",0,"עותק באוניברסיטת בר אילן","filtered_html"
"node","book",0,2167,2167,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2168,2168,"und",0,"לאומית:

R 4=67 A 696","filtered_html"
"node","book",0,2169,2169,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2170,2170,"und",0,"הלאומית העברית:

S 23 V 4234","filtered_html"
"node","book",0,2171,2171,"und",0,"ספריית אוניברסיטת תל אביב, אוסף יפה
892.42 ברז","filtered_html"
"node","book",0,2174,2174,"und",0,"SBBPK: Ez 10270","filtered_html"
"node","book",0,2175,2175,"und",0,"הלאומית העברית
S 61 A 1612","filtered_html"
"node","book",0,2176,2176,"und",0,"<p>עותק בספריית מהלמן, אונ' ת\"א</p>
","filtered_html"
"node","book",0,2177,2177,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2178,2178,"und",0,"עותק בתל אביב","filtered_html"
"node","book",0,2179,2179,"und",0,"הלאומית העברית S /26 V 182","filtered_html"
"node","book",0,2180,2180,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2181,2181,"und",0,"לאומית S 26 V 186","filtered_html"
"node","book",0,2182,2182,"und",0,"עותק בספריה הלאומית

חלק א' וב' כרוכים יחד (בעותק שנבדק זה).","filtered_html"
"node","book",0,2183,2183,"und",0,"עותק בספריה הלאומית.

חלק א' וב' כרוכים יחד (בעותק שנבדק זה).","filtered_html"
"node","book",0,2184,2184,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2185,2185,"und",0,"עותק באוניברסיטת תל אביב.","filtered_html"
"node","book",0,2186,2186,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2187,2187,"und",0,"עותק בספריה הלאומית (עותק מקורי)","filtered_html"
"node","book",0,2188,2188,"und",0,"עותק בספריה הלאומית - עותק מצולם","filtered_html"
"node","book",0,2189,2189,"und",0,"עותק אלקטרוני, באמצעות הספריה בפרנקפורט.","filtered_html"
"node","book",0,2190,2190,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2191,2191,"und",0,"עותק בספריה הלאומית","filtered_html"
