"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_huji_library_id_value","field_huji_library_id_format"
"node","book",0,2222,2222,"und",0,"R 16496",NULL
"node","book",0,2223,2223,"und",0,"R 16496",NULL
"node","book",0,2224,2224,"und",0,"R 16496",NULL
"node","book",0,2225,2225,"und",0,"R 16496",NULL
"node","book",0,2226,2226,"und",0,"R 16496",NULL
"node","book",0,2227,2227,"und",0,"R 16496",NULL
"node","book",0,2228,2228,"und",0,"R 16496",NULL
"node","book",0,2229,2229,"und",0,"R 16496",NULL
"node","book",0,2231,2231,"und",0,"23 V 8979",NULL
"node","book",0,2233,2233,"und",0,"R 8= 23 V 13792",NULL
"node","book",0,2235,2235,"und",0,"R 8= 63 A 4094",NULL
"node","book",0,2236,2236,"und",0,"R 8= 53 A 413",NULL
"node","book",0,2237,2237,"und",0,"S 31 V 4122",NULL
"node","book",0,2238,2238,"und",0,"L 80",NULL
"node","book",0,2239,2239,"und",0,"R 2= 23 V 5046",NULL
"node","book",0,2240,2240,"und",0,"L 1154",NULL
"node","book",0,2241,2241,"und",0,"S 29 V 1390",NULL
"node","book",0,2242,2242,"und",0,"S 36 A 987",NULL
"node","book",0,2245,2245,"und",0,"S /31 V 4110",NULL
"node","book",0,2246,2246,"und",0,"S /31 V 4110",NULL
"node","book",0,2247,2247,"und",0,"S /31 V 4110",NULL
"node","book",0,2248,2248,"und",0,"R 8= 58 A 1449",NULL
"node","book",0,2249,2249,"und",0,"S 25 V 14221",NULL
"node","book",0,2250,2250,"und",0,"R 0 23 V 1229",NULL
"node","book",0,2251,2251,"und",0,"96 L 121",NULL
"node","book",0,2253,2253,"und",0,"S 42 A 741",NULL
"node","book",0,2254,2254,"und",0,"R 8= 22 V 1936",NULL
"node","book",0,2255,2255,"und",0,"FI 10376(Po+Ne)",NULL
"node","book",0,2256,2256,"und",0,"S 25 V 13470",NULL
"node","book",0,2258,2258,"und",0,"R 0= 23 V 4461",NULL
"node","book",0,2259,2259,"und",0,"S 35 v54",NULL
"node","book",0,2262,2262,"und",0,"S 40 A 148",NULL
"node","book",0,2264,2264,"und",0,"S 36 A 2030",NULL
"node","book",0,2265,2265,"und",0,"R/ 21 V 8368",NULL
"node","book",0,2266,2266,"und",0,"4367 V 35 0",NULL
"node","book",0,2267,2267,"und",0,"S 25 V 14263",NULL
"node","book",0,2270,2270,"und",0,"33V292",NULL
"node","book",0,2271,2271,"und",0,"S 22 V 6395",NULL
"node","book",0,2272,2272,"und",0,"S 25 V 14272",NULL
"node","book",0,2273,2273,"und",0,"S 70 A 201",NULL
"node","book",0,2274,2274,"und",0,"S 23 V 4186",NULL
"node","book",0,2275,2275,"und",0,"S8=35V4464",NULL
"node","book",0,2276,2276,"und",0,"R 4= 22 V 13526",NULL
"node","book",0,2277,2277,"und",0,"22V 13073",NULL
"node","book",0,2278,2278,"und",0,"Fi 1193",NULL
"node","book",0,2279,2279,"und",0,"S 22 V 13513",NULL
"node","book",0,2280,2280,"und",0,"R 8= 52 A 1434",NULL
"node","book",0,2281,2281,"und",0,"R 8= 31 V 4087",NULL
"node","book",0,2282,2282,"und",0,"S 22 V 13207",NULL
"node","book",0,2283,2283,"und",0,"S 22 V 13225",NULL
"node","book",0,2284,2284,"und",0,"S 64 A 919",NULL
"node","book",0,2285,2285,"und",0,"R 0=22 V 13514",NULL
"node","book",0,2286,2286,"und",0,"S 62 A 3590",NULL
"node","book",0,2287,2287,"und",0,"S 23 V 4760",NULL
"node","book",0,2288,2288,"und",0,"הלאומית S 62 A 3590",NULL
"node","book",0,2289,2289,"und",0,"R 8= 22 V 13367",NULL
"node","book",0,2290,2290,"und",0,"S/2= 25V 13977",NULL
"node","book",0,2291,2291,"und",0,"S/2= 25V 13977",NULL
"node","book",0,2292,2292,"und",0,"S2005A5613",NULL
"node","book",0,2293,2293,"und",0,"S 31 V 516",NULL
"node","book",0,2294,2294,"und",0,"S25V13942",NULL
"node","book",0,2295,2295,"und",0,"S 56 A 1559",NULL
"node","book",0,2296,2296,"und",0,"S /56 A 1559",NULL
"node","book",0,2297,2297,"und",0,"S 56 A 1559",NULL
"node","book",0,2298,2298,"und",0,"S 56 A 1559",NULL
"node","book",0,2299,2299,"und",0,"S 56 A 1559",NULL
"node","book",0,2300,2300,"und",0,"S23V10878",NULL
"node","book",0,2302,2302,"und",0,"S 2= 22 V 6877",NULL
"node","book",0,2303,2303,"und",0,"S 23 V 7612",NULL
"node","book",0,2304,2304,"und",0,"R 8= 25 V 14310",NULL
"node","book",0,2307,2307,"und",0,"22 V 11695",NULL
"node","book",0,2311,2311,"und",0,"R 8= 35 V 1779",NULL
"node","book",0,2312,2312,"und",0,"R /8= 71 A 3775",NULL
"node","book",0,2313,2313,"und",0,"R 59 A 3564",NULL
"node","book",0,2314,2314,"und",0,"R 8= 59 A 3631",NULL
"node","book",0,2317,2317,"und",0,"S 26 V 250",NULL
