"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_publisher_name_tid
"node","book",0,2294,2294,"und",0,673
"node","book",0,2295,2295,"und",0,430
"node","book",0,2296,2296,"und",0,430
"node","book",0,2297,2297,"und",0,430
"node","book",0,2298,2298,"und",0,430
"node","book",0,2299,2299,"und",0,430
"node","book",0,2300,2300,"und",0,430
"node","book",0,2301,2301,"und",0,712
"node","book",0,2303,2303,"und",0,596
"node","book",0,2304,2304,"und",0,430
"node","book",0,2305,2305,"und",0,709
"node","book",0,2306,2306,"und",0,728
"node","book",0,2307,2307,"und",0,729
"node","book",0,2312,2312,"und",0,430
"node","book",0,2313,2313,"und",0,483
"node","book",0,2316,2316,"und",0,652
"node","book",0,2317,2317,"und",0,730
"node","book",0,2318,2318,"und",0,709
"node","book",0,2319,2319,"und",0,732
"node","book",0,2320,2320,"und",0,733
"node","book",0,2322,2322,"und",0,430
"node","book",0,2323,2323,"und",0,700
"node","book",0,2324,2324,"und",0,735
"node","book",0,2326,2326,"und",0,653
"node","book",0,2327,2327,"und",0,653
"node","book",0,2328,2328,"und",0,739
"node","book",0,2329,2329,"und",0,593
"node","book",0,2330,2330,"und",0,593
"node","book",0,2331,2331,"und",0,593
"node","book",0,2332,2332,"und",0,593
"node","book",0,2333,2333,"und",0,593
"node","book",0,2334,2334,"und",0,593
"node","book",0,2335,2335,"und",0,593
"node","book",0,2336,2336,"und",0,740
"node","book",0,2337,2337,"und",0,741
"node","book",0,2338,2338,"und",0,612
"node","book",0,2340,2340,"und",0,743
"node","book",0,2341,2341,"und",0,745
"node","book",0,2342,2342,"und",0,645
"node","book",0,2343,2343,"und",0,430
"node","book",0,2345,2345,"und",0,430
"node","book",0,2346,2346,"und",0,746
"node","book",0,2347,2347,"und",0,748
"node","book",0,2352,2352,"und",0,700
"node","book",0,2353,2353,"und",0,652
"node","book",0,2354,2354,"und",0,749
"node","book",0,2355,2355,"und",0,705
"node","book",0,2357,2357,"und",0,596
"node","book",0,2358,2358,"und",0,751
"node","book",0,2359,2359,"und",0,752
"node","book",0,2360,2360,"und",0,753
"node","book",0,2360,2360,"und",1,754
"node","book",0,2361,2361,"und",0,749
"node","book",0,2362,2362,"und",0,483
"node","book",0,2363,2363,"und",0,714
"node","book",0,2364,2364,"und",0,755
"node","book",0,2365,2365,"und",0,756
"node","book",0,2366,2366,"und",0,430
"node","book",0,2367,2367,"und",0,758
"node","book",0,2368,2368,"und",0,759
"node","book",0,2369,2369,"und",0,760
"node","book",0,2370,2370,"und",0,615
"node","book",0,2371,2371,"und",0,700
"node","book",0,2373,2373,"und",0,430
"node","book",0,2374,2374,"und",0,761
"node","book",0,2375,2375,"und",0,430
"node","book",0,2376,2376,"und",0,762
"node","book",0,2379,2379,"und",0,645
"node","book",0,2380,2380,"und",0,633
"node","book",0,2381,2381,"und",0,763
"node","book",0,2382,2382,"und",0,739
"node","book",0,2383,2383,"und",0,764
"node","book",0,2384,2384,"und",0,430
"node","book",0,2385,2385,"und",0,596
"node","book",0,2386,2386,"und",0,430
"node","book",0,2387,2387,"und",0,766
"node","book",0,2388,2388,"und",0,766
"node","book",0,2389,2389,"und",0,766
"node","book",0,2390,2390,"und",0,430
"node","book",0,2391,2391,"und",0,767
"node","book",0,2393,2393,"und",0,702
"node","book",0,2394,2394,"und",0,430
"node","book",0,2395,2395,"und",0,430
"node","book",0,2396,2396,"und",0,768
"node","book",0,2397,2397,"und",0,618
"node","book",0,2400,2400,"und",0,673
"node","book",0,2401,2401,"und",0,669
"node","book",0,2402,2402,"und",0,511
"node","book",0,2403,2403,"und",0,739
"node","book",0,2404,2404,"und",0,650
"node","book",0,2405,2405,"und",0,430
"node","book",0,2406,2406,"und",0,633
"node","book",0,2407,2407,"und",0,593
"node","book",0,2408,2408,"und",0,770
"node","book",0,2411,2411,"und",0,430
"node","book",0,2414,2414,"und",0,430
"node","book",0,2416,2416,"und",0,669
"node","book",0,2417,2417,"und",0,773
"node","book",0,2418,2418,"und",0,773
"node","book",0,2419,2419,"und",0,758
"node","book",0,2421,2421,"und",0,430
"node","book",0,2422,2422,"und",0,776
"node","book",0,2423,2423,"und",0,777
"node","book",0,2424,2424,"und",0,647
"node","book",0,2425,2425,"und",0,430
"node","book",0,2426,2426,"und",0,430
"node","book",0,2427,2427,"und",0,430
"node","book",0,2428,2428,"und",0,779
"node","book",0,2430,2430,"und",0,780
"node","book",0,2432,2432,"und",0,616
"node","book",0,2436,2436,"und",0,430
"node","book",0,2437,2437,"und",0,430
"node","book",0,2439,2439,"und",0,430
"node","book",0,2440,2440,"und",0,430
"node","book",0,2442,2442,"und",0,430
"node","book",0,2443,2443,"und",0,593
"node","book",0,2444,2444,"und",0,782
"node","book",0,2446,2446,"und",0,783
"node","book",0,2447,2447,"und",0,784
"node","book",0,2448,2448,"und",0,785
"node","book",0,2451,2451,"und",0,430
"node","book",0,2452,2452,"und",0,430
"node","book",0,2453,2453,"und",0,430
"node","book",0,2454,2454,"und",0,430
"node","book",0,2455,2455,"und",0,430
"node","book",0,2458,2458,"und",0,653
"node","book",0,2459,2459,"und",0,787
"node","book",0,2462,2462,"und",0,768
"node","book",0,2464,2464,"und",0,462
"node","book",0,2465,2465,"und",0,430
"node","book",0,2470,2470,"und",0,645
"node","book",0,2471,2471,"und",0,554
"node","book",0,2472,2472,"und",0,653
"node","book",0,2473,2473,"und",0,430
"node","book",0,2474,2474,"und",0,776
"node","book",0,2475,2475,"und",0,776
"node","book",0,2476,2476,"und",0,776
"node","book",0,2478,2478,"und",0,653
"node","book",0,2480,2480,"und",0,790
"node","book",0,2481,2481,"und",0,647
"node","book",0,2483,2483,"und",0,430
"node","book",0,2485,2485,"und",0,430
"node","book",0,2486,2486,"und",0,430
"node","book",0,2487,2487,"und",0,633
