"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_pages_number_value","field_pages_number_format"
"node","book",0,2116,2116,"und",0,"[13] ע', קעב ד', מט ד', [4] ע'",NULL
"node","book",0,2117,2117,"und",0,"[12] ד' כולל עמוד שער",NULL
"node","book",0,2118,2118,"und",0,"[3], לז, [1] ד'",NULL
"node","book",0,2119,2119,"und",0,"[4], כא, קא, [1] ד' כולל שער",NULL
"node","book",0,2120,2120,"und",0,"טז, קנב ד' כולל שער",NULL
"node","book",0,2121,2121,"und",0,"ד'-יח' עמ'; 16-4 עמ'.",NULL
"node","book",0,2122,2122,"und",0,"[1]",NULL
"node","book",0,2123,2123,"und",0,"מח' דף, [1] עמ'",NULL
"node","book",0,2124,2124,"und",0,"סח' דפים, [1] עמ'",NULL
"node","book",0,2125,2125,"und",0,"[34] ע'",NULL
"node","book",0,2126,2126,"und",0,"טז ד'",NULL
"node","book",0,2127,2127,"und",0,"מח ד'",NULL
"node","book",0,2128,2128,"und",0,"עו ד'",NULL
"node","book",0,2129,2129,"und",0,"16 ד'",NULL
"node","book",0,2130,2130,"und",0,"[2] ד, 113, [1] ע' כולל שער",NULL
"node","book",0,2133,2133,"und",0,"כד' ד', [1] עמ'",NULL
"node","book",0,2134,2134,"und",0,"VI עמ', 82 עמ'",NULL
"node","book",0,2135,2135,"und",0,"[6], LVIII, [6], 198",NULL
"node","book",0,2136,2136,"und",0,"[3], 264",NULL
"node","book",0,2137,2137,"und",0,"[14], צו ד'",NULL
"node","book",0,2138,2138,"und",0,"36 ד'",NULL
"node","book",0,2139,2139,"und",0,"47 עמ', [1] עמ' (+דפי איורים??)",NULL
"node","book",0,2140,2140,"und",0,"45 ד', [1] עמ'",NULL
"node","book",0,2141,2141,"und",0,"[12] ע' כולל שער",NULL
"node","book",0,2142,2142,"und",0,"[5], טו ד'",NULL
"node","book",0,2143,2143,"und",0,"[7] דף",NULL
"node","book",0,2144,2144,"und",0,"[5] עמ', 9 עמ'",NULL
"node","book",0,2145,2145,"und",0,"[2] עמ', פט', [1]",NULL
"node","book",0,2146,2146,"und",0,"[2] עמ', ע' דפים, [1]",NULL
"node","book",0,2147,2147,"und",0,"[2] עמ', סב דפים, [3] עמ'",NULL
"node","book",0,2148,2148,"und",0,"[2] עמ', עט דפים, [3], [7]",NULL
"node","book",0,2149,2149,"und",0,"11 עמ'",NULL
"node","book",0,2150,2150,"und",0,"[3], [81] ע'",NULL
"node","book",0,2151,2151,"und",0,"[11] ע'",NULL
"node","book",0,2152,2152,"und",0,"46 ע'",NULL
"node","book",0,2153,2153,"und",0,"[9] ד'",NULL
"node","book",0,2154,2154,"und",0,"[19] ע'",NULL
"node","book",0,2155,2155,"und",0,"מה' ד' , [1] עמ'",NULL
"node","book",0,2156,2156,"und",0,"[6], פה, [2] ע'",NULL
"node","book",0,2158,2158,"und",0,"[2], לה, א, [3] ד'",NULL
"node","book",0,2159,2159,"und",0,"כח'  ד' [1 עמ']",NULL
"node","book",0,2161,2161,"und",0,"36",NULL
"node","book",0,2162,2162,"und",0,"[4], לה ד'",NULL
"node","book",0,2164,2164,"und",0,"ט'-יא' , [1] (המשך המיספור של ספר כתר מלכות)",NULL
"node","book",0,2165,2165,"und",0,"[9], קכה, [1] ד'",NULL
"node","book",0,2166,2166,"und",0,"[6] ע', פג ד'",NULL
"node","book",0,2167,2167,"und",0,"3, לו ד'",NULL
"node","book",0,2168,2168,"und",0,"[8] עמ'",NULL
"node","book",0,2170,2170,"und",0,"[27] עמ',  מג' דפים, [1]",NULL
"node","book",0,2171,2171,"und",0,"[82] עמ'[82] עמ'",NULL
"node","book",0,2172,2172,"und",0,"יג, [2], קכב ד' כולל שער",NULL
"node","book",0,2173,2173,"und",0,"ה, [2], נז ד' כולל שער",NULL
"node","book",0,2174,2174,"und",0,"XVI, 299",NULL
"node","book",0,2175,2175,"und",0,"[19] עמ', פט' עמ'",NULL
"node","book",0,2176,2176,"und",0,"[7] ע'",NULL
"node","book",0,2177,2177,"und",0,"[26] ע’ כולל שער",NULL
"node","book",0,2178,2178,"und",0,"יח, [13] ד' כולל שער",NULL
"node","book",0,2179,2179,"und",0,"[61 עמ']",NULL
"node","book",0,2180,2180,"und",0,"[1] ד'",NULL
"node","book",0,2181,2181,"und",0,"לג' עמ', [1] עמ'",NULL
"node","book",0,2182,2182,"und",0,"לו ע' כולל שער",NULL
"node","book",0,2183,2183,"und",0,"לח, [1] ע' כולל שער",NULL
"node","book",0,2184,2184,"und",0,"[מעמ' 33 עד 111]",NULL
"node","book",0,2185,2185,"und",0,"[82] ע'",NULL
"node","book",0,2186,2186,"und",0,"1 ד'",NULL
"node","book",0,2187,2187,"und",0,"[2] ע'",NULL
"node","book",0,2188,2188,"und",0,"[1] ע'",NULL
"node","book",0,2189,2189,"und",0,"[1], 147 ע' כולל שער",NULL
"node","book",0,2190,2190,"und",0,"17 ע'",NULL
"node","book",0,2191,2191,"und",0,"[19] ע'",NULL
"node","book",0,2192,2192,"und",0,"[2] פה' ד' [5 ] עמ'",NULL
"node","book",0,2193,2193,"und",0,"מ ע'",NULL
"node","book",0,2194,2194,"und",0,"לב ע'",NULL
"node","book",0,2195,2195,"und",0,"[2], יח, [1] ע'",NULL
"node","book",0,2196,2196,"und",0,"[9], צט ד' כולל שער",NULL
"node","book",0,2198,2198,"und",0,"[3] עמ', כז'-לח', [1] עמ'",NULL
"node","book",0,2199,2199,"und",0,"נו ד'",NULL
"node","book",0,2200,2200,"und",0,"[6] נד ד'",NULL
"node","book",0,2201,2201,"und",0,"[10] ד' [כולל שער], מ ד'",NULL
"node","book",0,2202,2202,"und",0,"[7] ס' [1]",NULL
"node","book",0,2203,2203,"und",0,"[6] ד' כולל שער, נו ד'",NULL
"node","book",0,2204,2204,"und",0,"[4], כח ד' (כולל שער)",NULL
"node","book",0,2205,2205,"und",0,"[5], לג ד' (כולל שער)",NULL
"node","book",0,2206,2206,"und",0,"ח' דף [1]",NULL
"node","book",0,2207,2207,"und",0,"ד ד', שנד עמודות, [1] ע' כולל שער",NULL
"node","book",0,2208,2208,"und",0,"[8] ע'  [כולל עמ' שער]",NULL
"node","book",0,2209,2209,"und",0,"[10] עמ', 166 עמ'",NULL
"node","book",0,2210,2210,"und",0,"XII עמ', 210 עמ', [2] עמ'",NULL
"node","book",0,2211,2211,"und",0,"16-3 עמ', רפב' עמ'",NULL
"node","book",0,2212,2212,"und",0,"[1] ע'",NULL
"node","book",0,2213,2213,"und",0,"[9], קח, [1] ד' כולל שער",NULL
"node","book",0,2214,2214,"und",0,"[א], פא ד' כולל שער",NULL
"node","book",0,2216,2216,"und",0,"[4] ע'",NULL
"node","book",0,2217,2217,"und",0,"4 ע' כולל שער",NULL
"node","book",0,2218,2218,"und",0,"[28] ע'",NULL
"node","book",0,2219,2219,"und",0,"[1] עמ', רסח' עמ', [1] עמ'",NULL
"node","book",0,2220,2220,"und",0,"[31] ד'",NULL
"node","book",0,2221,2221,"und",0,"28 ע' כולל שער",NULL
"node","book",0,2222,2222,"und",0,"[12] עמ', קכד' ד', [1] עמ', יב' ד'",NULL
"node","book",0,2223,2223,"und",0,"[2] עמ', סח' ד', [1] עמ', כב' ד', [1] עמ', מא' ד', [1] עמ', כח' ד', [1] עמ', כט' ד', [3] עמ'",NULL
"node","book",0,2224,2224,"und",0,"קד' ד', [1] עמ', יב' ד'",NULL
"node","book",0,2225,2225,"und",0,"קג' ד', [1] עמ', יב' ד'",NULL
"node","book",0,2226,2226,"und",0,"קטז' ד', [1], יב' ד'",NULL
"node","book",0,2227,2227,"und",0,"צט' ד', [1] עמ', יב' ד', [1] עמ'",NULL
"node","book",0,2228,2228,"und",0,"נב' [ד'], [1] עמ', טז' [דפ']",NULL
"node","book",0,2229,2229,"und",0,"[12] עמ', יד' ד', [1] עמ', צ' ד' [1] עמ', יב' ד'",NULL
"node","book",0,2230,2230,"und",0,"[2] עמ', XIII עמ', [4]עמ', 156, עמ', [3] עמ'",NULL
"node","book",0,2231,2231,"und",0,"[3] עמ' לא' דפים",NULL
"node","book",0,2232,2232,"und",0,"[7] עמ'",NULL
"node","book",0,2233,2233,"und",0,"16, [8] ע' כולל עמודי שער",NULL
"node","book",0,2234,2234,"und",0,"[22] ע', צה ד'",NULL
"node","book",0,2235,2235,"und",0,"יב ד' כולל שער",NULL
"node","book",0,2236,2236,"und",0,"[4] ע' כולל שער",NULL
"node","book",0,2237,2237,"und",0,"נב ד', [1] עמ'",NULL
"node","book",0,2238,2238,"und",0,"[1] ע'",NULL
"node","book",0,2239,2239,"und",0,"[6], קנ, [2] ד'",NULL
"node","book",0,2240,2240,"und",0,"[4] ע' כולל שער",NULL
"node","book",0,2241,2241,"und",0,"[19] עמ' 175 עמ' [2]",NULL
"node","book",0,2242,2242,"und",0,"[4], צב ע'",NULL
"node","book",0,2243,2243,"und",0,"[7] עמ' י'-פח'",NULL
"node","book",0,2245,2245,"und",0,"[11 עמ'] נד'",NULL
"node","book",0,2246,2246,"und",0,"[1]ע' פח' ד' [1] ע'",NULL
"node","book",0,2247,2247,"und",0,"[15] עמ' נו' [1] עמ'",NULL
"node","book",0,2248,2248,"und",0,"[19] עמ'",NULL
"node","book",0,2249,2249,"und",0,"[3] עמ', קיח ד'",NULL
"node","book",0,2250,2250,"und",0,"[6] ע', נ ד'",NULL
"node","book",0,2251,2251,"und",0,"2 דפים",NULL
"node","book",0,2252,2252,"und",0,"[2] מד' ד'",NULL
"node","book",0,2253,2253,"und",0,"[1], קסח, [2] ד' כולל שער",NULL
"node","book",0,2254,2254,"und",0,"[3], מד, [2] ד', 8 ע' כולל שער",NULL
"node","book",0,2255,2255,"und",0,"[6] עמ' עו'",NULL
"node","book",0,2256,2256,"und",0,"נט'  דפים, [1] עמ'",NULL
"node","book",0,2258,2258,"und",0,"ט' ד', [1] עמ'",NULL
"node","book",0,2259,2259,"und",0,"[2] עמ', טז ד’",NULL
"node","book",0,2260,2260,"und",0,"מב ד' , [1] עמ'",NULL
"node","book",0,2261,2261,"und",0,"[5], סז ד’ [=10,134 ע’]   (לפי ספריית אוניברסיטת תל אביב)",NULL
"node","book",0,2262,2262,"und",0,"[20 עמ'] קח'  ד' [1] עמ'",NULL
"node","book",0,2263,2263,"und",0,"[2-1], לה'  ד', [1]",NULL
"node","book",0,2264,2264,"und",0,"[44] ד', [1] עמ'",NULL
