"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_preface_writer_target_id
"node","preface",0,5615,5615,"und",0,59
"node","preface",0,5616,5616,"und",0,199
"node","preface",0,5617,5617,"und",0,105
"node","preface",0,5618,5618,"und",0,338
"node","preface",0,5619,5619,"und",0,199
"node","preface",0,5620,5620,"und",0,199
"node","preface",0,5621,5621,"und",0,1507
"node","preface",0,5622,5622,"und",0,423
"node","preface",0,5623,5623,"und",0,480
"node","preface",0,5624,5624,"und",0,171
"node","preface",0,5626,5626,"und",0,402
"node","preface",0,5627,5627,"und",0,198
"node","preface",0,5628,5628,"und",0,125
"node","preface",0,5629,5629,"und",0,32
"node","preface",0,5630,5630,"und",0,171
"node","preface",0,5631,5631,"und",0,171
"node","preface",0,5632,5632,"und",0,61
"node","preface",0,5633,5633,"und",0,213
"node","preface",0,5634,5634,"und",0,480
"node","preface",0,5635,5635,"und",0,333
"node","preface",0,5636,5636,"und",0,489
"node","preface",0,5637,5637,"und",0,219
"node","preface",0,5638,5638,"und",0,219
"node","preface",0,5639,5639,"und",0,1577
"node","preface",0,5640,5640,"und",0,344
"node","preface",0,5641,5641,"und",0,309
"node","preface",0,5642,5642,"und",0,75
"node","preface",0,5643,5643,"und",0,480
"node","preface",0,5644,5644,"und",0,480
"node","preface",0,5645,5645,"und",0,480
"node","preface",0,5646,5646,"und",0,480
"node","preface",0,5647,5647,"und",0,480
"node","preface",0,5648,5648,"und",0,171
"node","preface",0,5649,5649,"und",0,1947
"node","preface",0,5650,5650,"und",0,207
"node","preface",0,5651,5651,"und",0,983
"node","preface",0,5652,5652,"und",0,433
"node","preface",0,5653,5653,"und",0,122
"node","preface",0,5654,5654,"und",0,83
"node","preface",0,5655,5655,"und",0,83
"node","preface",0,5656,5656,"und",0,83
"node","preface",0,5657,5657,"und",0,43
"node","preface",0,5658,5658,"und",0,423
