"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_secondary_textual_models_tid
"node","book",0,2246,2246,"und",0,376
"node","book",0,2246,2246,"und",1,380
"node","book",0,2246,2246,"und",2,381
"node","book",0,2246,2246,"und",3,384
"node","book",0,2247,2247,"und",0,351
"node","book",0,2247,2247,"und",1,357
"node","book",0,2247,2247,"und",2,380
"node","book",0,2247,2247,"und",3,381
"node","book",0,2247,2247,"und",4,384
"node","book",0,2248,2248,"und",0,351
"node","book",0,2248,2248,"und",1,357
"node","book",0,2256,2256,"und",0,336
"node","book",0,2260,2260,"und",0,351
"node","book",0,2260,2260,"und",1,357
"node","book",0,2263,2263,"und",0,380
"node","book",0,2265,2265,"und",0,342
"node","book",0,2265,2265,"und",1,351
"node","book",0,2265,2265,"und",2,357
"node","book",0,2266,2266,"und",0,336
"node","book",0,2267,2267,"und",0,387
"node","book",0,2268,2268,"und",0,335
"node","book",0,2268,2268,"und",1,387
"node","book",0,2269,2269,"und",0,338
"node","book",0,2269,2269,"und",1,339
"node","book",0,2270,2270,"und",0,338
"node","book",0,2270,2270,"und",1,339
"node","book",0,2275,2275,"und",0,359
"node","book",0,2279,2279,"und",0,351
"node","book",0,2279,2279,"und",1,357
"node","book",0,2280,2280,"und",0,351
"node","book",0,2280,2280,"und",1,380
"node","book",0,2280,2280,"und",2,383
"node","book",0,2280,2280,"und",3,384
"node","book",0,2282,2282,"und",0,336
"node","book",0,2282,2282,"und",1,351
"node","book",0,2282,2282,"und",2,357
"node","book",0,2282,2282,"und",3,380
"node","book",0,2282,2282,"und",4,383
"node","book",0,2282,2282,"und",5,384
"node","book",0,2285,2285,"und",0,380
"node","book",0,2285,2285,"und",1,384
"node","book",0,2285,2285,"und",2,386
"node","book",0,2286,2286,"und",0,351
"node","book",0,2287,2287,"und",0,342
"node","book",0,2295,2295,"und",0,338
"node","book",0,2295,2295,"und",1,339
"node","book",0,2296,2296,"und",0,338
"node","book",0,2296,2296,"und",1,339
"node","book",0,2297,2297,"und",0,338
"node","book",0,2297,2297,"und",1,339
"node","book",0,2302,2302,"und",0,342
"node","book",0,2303,2303,"und",0,366
"node","book",0,2303,2303,"und",1,369
"node","book",0,2307,2307,"und",0,336
"node","book",0,2311,2311,"und",0,351
"node","book",0,2311,2311,"und",1,357
"node","book",0,2312,2312,"und",0,351
"node","book",0,2312,2312,"und",1,357
"node","book",0,2312,2312,"und",2,380
"node","book",0,2312,2312,"und",3,381
"node","book",0,2312,2312,"und",4,382
"node","book",0,2312,2312,"und",5,383
"node","book",0,2314,2314,"und",0,331
"node","book",0,2317,2317,"und",0,387
"node","book",0,2320,2320,"und",0,336
"node","book",0,2320,2320,"und",1,366
"node","book",0,2320,2320,"und",2,368
"node","book",0,2323,2323,"und",0,351
"node","book",0,2325,2325,"und",0,338
"node","book",0,2325,2325,"und",1,339
"node","book",0,2326,2326,"und",0,324
"node","book",0,2330,2330,"und",0,351
"node","book",0,2336,2336,"und",0,387
"node","book",0,2338,2338,"und",0,351
"node","book",0,2338,2338,"und",1,357
"node","book",0,2343,2343,"und",0,359
"node","book",0,2343,2343,"und",1,366
"node","book",0,2343,2343,"und",2,369
"node","book",0,2345,2345,"und",0,366
