nid,vid,type,title,status,created,changed,uid,alignment_tid,bans,bans_format,bar_ilan_library_id,bar_ilan_library_id_format,berlin_library_id,berlin_library_id_format,bibliographical_citations,bibliographical_citations_format,book_availability_notes,book_availability_notes_format,book_not_available,book_structure_notes,book_structure_notes_format,book_studies,book_studies_format,book_type_general_notes,book_type_general_notes_format,british_library_id,british_library_id_format,catalog_numbers_notes,catalog_numbers_notes_format,censorship,censorship_format,contacts_official_agents,contacts_official_agents_format,contacts_other_people,contacts_other_people_format,contemporary_disputes,contemporary_disputes_format,contemporary_references,contemporary_references_format,contents_table_notes,contents_table_notes_format,contradict_new_edition,contradict_original,copy_of_book_used,copy_of_book_used_format,dedications,dedications_notes,dedications_notes_format,diagrams_book_pages,diagrams_book_pages_format,diagrams_notes,diagrams_notes_format,editions_notes,editions_notes_format,epilogue,epilogue_notes,epilogue_notes_format,examined_volume_number,expanded_in_edition,expanded_in_translations,fonts_tid,format_of_publication_date_tid,founders_notes,founders_notes_format,frankfurt_library_id,frankfurt_library_id_format,full_title,full_title_format,funders,gregorian_year,gregorian_year_pub_other,gregorian_year_pub_other_format,heb_year_publication_other,heb_year_publication_other_format,hebrew_year_of_publication,hebrew_year_of_publication_format,height,height_format,huji_library_id,huji_library_id_format,illustrations_diagrams,jewish_sources_quotes,jewish_sources_quotes_format,language_tid,language_of_footnotes_tid,languages_number_tid,last_known_edition,last_known_edition_format,later_references,later_references_format,link_to_digital_book_attributes,link_to_digital_book_title,link_to_digital_book_url,location_of_footnotes_tid,main_textual_models_tid,mention_general_notes,mention_general_notes_format,mentions_in_reviews,mentions_in_reviews_format,motto,motto_format,name_of_series_tid,new_edition_general_notes,new_edition_general_notes_format,new_edition_type_else_note,new_edition_type_else_note_format,new_edition_type_else_ref,new_edition_type_else_ref_format,new_edition_type_elsewhere_tid,new_edition_type_in_text_tid,new_edition_type_notes,new_edition_type_notes_format,new_edition_type_reference,new_edition_type_reference_format,new_york_library_id,new_york_library_id_format,non_jewish_sources_quotes,non_jewish_sources_quotes_format,occasional_words_languages_tid,old_author_addition_names,old_author_addition_names_format,old_name_in_book,old_name_in_book_format,old_text,old_text_author_target_id,old_text_author_in_book,old_text_author_in_book_format,old_text_format,original_author,original_author_else_refer,original_author_else_refer_format,original_author_elsewhere,original_author_elsewhere_format,original_author_format,original_author_other_name,original_author_other_name_format,original_language_tid,original_publication_place_tid,original_publication_year,original_publication_year_format,original_publisher_tid,original_sources_mention,original_sources_mention_format,original_text_author_target_id,original_text_name,original_text_name_format,original_title,original_title_else_refer,original_title_else_refer_format,original_title_elsewhere,original_title_elsewhere_format,original_title_format,original_type_tid,other_books_names,other_books_names_format,other_libraries,other_libraries_format,other_volumes,other_volumes_format,pages_number,pages_number_format,partial_publication_other,partial_publication_other_format,personal_address,personal_addresse_notes,personal_addresse_notes_format,planned_volumes,planned_volumes_format,preface,presented_as_original,presented_as_translation,presented_new_edition,presented_new_edition_note,presented_new_edition_note_format,presented_new_edition_refe,presented_new_edition_refe_format,presented_original_notes,presented_original_notes_format,presented_original_referen,presented_original_referen_format,presented_translatio_notes,presented_translatio_notes_format,presented_translation_refe,presented_translation_refe_format,preservation_references,preservation_references_format,price,price_format,printed_originally,printers,printers_notes,printers_notes_format,printing_press_notes,printing_press_notes_format,printing_press_references,printing_press_references_format,production_evidence,production_evidence_format,proofreaders,proofreaders_notes,proofreaders_notes_format,publication_place_tid,publication_place_other_tid,publication_year_in_book,publication_year_in_book_format,publication_year_in_other,publication_year_in_other_format,publisher_name_tid,rabbinical_appro_notes,rabbinical_appro_notes_format,rabbinical_approbations,recommendations,recommendations_notes,recommendations_notes_format,references_for_editions,references_for_editions_format,references_notes,references_notes_format,secondary_sources,secondary_sources_format,secondary_textual_models_tid,sellers,sellers_notes,sellers_notes_format,series_part,sources_exist,sources_list,sources_list_format,sources_not_mentioned,sources_not_mentioned_list,sources_not_mentioned_list_format,sources_not_mentioned_ref,sources_not_mentioned_ref_format,sources_references,sources_references_format,structure_preface_notes,structure_preface_notes_format,subscribers,subscribers_notes,subscribers_notes_format,subscription_appeal,subscription_appeal_notes,subscription_appeal_notes_format,table_of_conten,target_audience_tid,target_audience_notes,target_audience_notes_format,target_general_notes,target_general_notes_format,tel_aviv_library_id,tel_aviv_library_id_format,textual_models_notes,textual_models_notes_format,thanks,thanks_notes,thanks_notes_format,title_in_latin_characters,title_in_latin_characters_format,topic_tid,topics_notes,topics_notes_format,total_number_of_editions,total_number_of_editions_format,translation_notes,translation_notes_format,translation_type,typography_tid,volumes_notes,volumes_notes_format,volumes_published_number,volumes_published_number_format,width,width_format
2005,2005,book,"Histoire de l'établissement des juifs à Bordeaux et à Bayonne, depuis 1550",1,1428490158,1428490158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Histoire de l'établissement des juifs à Bordeaux et à Bayonne, depuis 1550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,1799,,,,,,,,,,,"נטלי:

Hertzberg 1968, קטלוג צרפתי

לפי הרצברג, הספר יצא ברורדו, 1799-1800 (שנה VIII).

הספר ניתן להשגה בהדפסה חוזרת של המהדורה הישנה.

הדפסה זו יצא ב: Bayonne : Harriet, 1985",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2006,book,Israelitischer Kinderfreund,1,1428490158,1428490158,1,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UB Rostock: CIc-368.4a,filtered_html,0.0,,,,,,,,,0.0,,,,,,413.0,409.0,,,,,Israelitischer Kinderfreund [Ankündigung] / L'Ami des enfans d'Israël / מודע לילדי בני ישראל,,0.0,1811.0,,,,,תקעא,,,,,,0.0,,,415.0,,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 S.,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,3 Reichsthaler,,,1.0,,,"Vertrieb auch über die ""Gesellschaft des Guten und Edlen"".


למחיר הספר:

3 Reichsthaler, bei Abnahme großer Stückzahlen Rabatt: ""Schulen, welche eine Anzahl Exemplare bestellen, erhalten einen angemessenen Rabat. Auf 3 Hefte, von circa 36 Bogen in gr. 8, wird mit 2 Rthlr. Preuß. Cour., das ist, à Heft 16 Gr., pränumeriert.",filtered_html,,,,,0.0,,,14.0,,1811,,,,462.0,,,0.0,0.0,,,,,,,,,330.0,0.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,0.0,426.0,,,,,,,,,0.0,,,Israelitischer Kinderfreund [Ankündigung] / L'Ami des enfans d'Israël / Modaʿ le-yalde bene Yisraʾel,,,,,,,,,,429.0,,,,,,
2007,2007,book,Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S 56 B 1051,filtered_html,,,,,,,,"עד עכשיו לא ראיתי מהדורות נוספות במקור, ש.ל. (06.2008)",filtered_html,0.0,,,,,,414.0,409.0,,,,,"Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse: ein Elementarwerk in hebräischer, deutscher und französischer Sprache für den Schul= und Privat-Unterricht der israelitischen Jugend; enthaltend: ein neues ABC= und Lese= Buch; die Anfangsgründung der Erdbeschreibung, der Geschichte und Naturbeschreibung; von Menschen und seinen Verhältnissen; von den mannigfachen Verarbeitungen der Produkte der Erde; von der Zeitrechnung; Zahlen; Maaβe und Gewichte der vorzüglichsten Länder; den ersten Unterricht der israelitischen Religion und Moral; eine Kurze Uebersicht der heilighen Schriften der Biebel; kleine Morgen= und Abend= Gebete für jeden Tag der Woche, für den Sabbat und Festage; eine Sammlung Gelegenheits= Gedichte für diejenigen Verhältnisse, worin die Jugend sich befinden kann; Sitten= sprüche für Stammbücher, und Sinn= Räthsel;
von M. H. Bock,
Vorsteher zweier Schulen für Söhne und Töchter, wie auch einer Erziehngs= und Pensions= Anhalt für Söhene gebieldeter israelitischer Familien??",,,,,,,,תקעא,,,,S 56 B 1051,,0.0,,,415.0,415.0,410.0,1841,,,,,,,424.0,387.0,"ישנה כאן רשימה ארוכה, ולא זהה לזו שבספר שבעברית, שתוקלד על ידי אורית",filtered_html,,,,,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,"בית הדפוס:

In den Schulanstalten des Verfassers",filtered_html,,,,,,,,14.0,,1811,,,,,,,,,,,"Völpel, Annegret/Shavit, Zohar, Deutsch-jüdische Kinder- und Jugendliteratur. EIn literaturgeschichtlicher Grundriß, Stuttgart/Weimar 2002, S.  41.",filtered_html,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,489.0,,,3,,,,,429.0,"הספר יצא בשלוש גירסאות מקבילות: עברית (תקע""ב), גרמנית (1811) וצרפתית (1811)",filtered_html,,,,
2008,2008,book,Jeremias Klagegesänge,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,צילום של עותק בספריה הלאומית.,filtered_html,0.0,,,,,,,,,0.0,,,,,,413.0,409.0,,,,,Jeremias Klagegesänge: Uebersetzt und mit Anmerkungen von Joel Löwe und Aaron Wolfssohn. Mitgliedern der Gesellschaft Hebräischer Litteraturfreunde zu Königsberg und Berlin,,0.0,,,,,,,,,,S60B809,,0.0,,,415.0,415.0,410.0,,,,,,,,424.0,,,,,,,,,,,,,,,,,,,,,,,,,439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"xxiv, 95 ע'",,,,0.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,14.0,,1790,,,,433.0,,,0.0,0.0,,,,,"נטלי:
הוחלט להעביר את הספר לספריה המשותפת אם הוא כתוב באותיות לועזיות.
מודל טקסטואלי: אין קטגוריה מתאימה. אין מדובר במודל הביאור - הטקסט העברי לא מובא כאן, וגם ההערות אינם בעברית.",filtered_html,,,,0.0,,,,1.0,"Herder, הרדר

Michaelis, מיכאליס

Friedlaender, David, פרידלנדר, דוד",filtered_html,,,,,,הקדמה,filtered_html,,,0.0,,,0.0,,,0.0,420.0,"לווה וולפסון פונים בבירור (לפחות בין היתר) אל קהל לא יהודי. למשל, בהקדמתם הם מסבירים בהערת שוליים מהו השימוש שעושים היום היהודים בספר ירמיהו (בתפילה).
בקרב הקהל הלא יהודי, הפניה היא בעיקר למלומדים והבראיסטים. המתרגמים מתמודדים עם דעות ותרגומים של מלומדים נוצרים, חיים כמתים. הם מזכירים את הרדר ומיכאליס, בין היתר.",filtered_html,,,,,,,0.0,,,,,489.0,,,,,,,,429.0,,,,,,
2009,2009,book,Jerusalem oder über religiöse Macht und Judentum,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL: JNUL: R 0 35 V 3291,filtered_html,0.0,,,,,,,,,0.0,,,,,,413.0,409.0,,,urn:nbn:de:hebis:30-180010774005,,Jerusalem oder über religiöse Macht und Judentum,,0.0,,,,,,,,15.9,,R 0 35 V 3291,,0.0,,,415.0,415.0,410.0,,,,,a:0:{},,http://sammlungen.ub.uni-frankfurt.de/freimann/content/titleinfo/674220,424.0,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93, 141",,,,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,14.0,,1783,,,,433.0,,,0.0,0.0,,,,,AK: Meyer - 1965 - Nr. 273. SBBPK: 168342,filtered_html,,,359.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,426.0,,,,,,,,,0.0,,,,,421.0,,,,,,,,429.0,,,,,9.9,
2010,2010,book,"Jeschurun, oder unparteyische Beleuchtung der dem Judenthume neuerdings gemachten Vorwürfe",1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,"Jeremy Asher Dauber, Antonio's Devils, p. 175 ff",filtered_html,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,413.0,409.0,,,urn:nbn:de:hebis:30-180013792001,,"Jeschurun, oder unparteyische Beleuchtung der dem Judenthume neuerdings gemachten Vorwürfe: In Briefen von Aaron Wolfssohn, Oberlehrer und Inspektor an der königl. Wilhelmsschule zu Breslau",,0.0,,,,,,,,,,FI 692,,0.0,,,415.0,415.0,410.0,,,,,a:0:{},,http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180013792001,424.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[6], 133 ע'",,,,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,"שם בית הדפוס כפי שמופיע על עמ' השער:
Carl Friedrich Barth jun.",filtered_html,,,,,0.0,,,28.0,,1804,,,,487.0,,,0.0,0.0,,,,,"AK: Bayerische Staatsbibliothek, München: Jud. 173y
הספר נמצא במאגר הדיגיטלי של ספריית פרנקפורט.",filtered_html,,,332.0,0.0,,,,,,,,,,,,,,"הקדמה בצורת שיר מתוך כתבי גלרט 
Gellert",filtered_html,0.0,,,0.0,,,0.0,420.0,,,,,,,טקסט אפולוגטי נגד התקפות על היהדות/ היהודים שנעשו בתקופה.,filtered_html,0.0,,,,,506.0,"לפי הצהרתו של המחבר בפנייתו להוים בתחילת הספר, כוונתו היא:

[eine] unparteyische und wahrhafte Schilderung des politischen und moralischen Zustandes meiner Glaubensgenossen, in den königl. Preussichen Staaten, eines gnädigen Blickes zu würdigen.",,,,,,,429.0,,,,,,
2011,2011,book,Jonas Jeitteles,1,1428490158,1428490158,1,,,,,,Au 12131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.0,,,,,,,409.0,,,,,"Jonas Jeitteles: der Heilkunde Doktor, der Weltweißheit Baccalaureus, des gewesenen böhmisch-israelitisch-chirurgischen Gremiums immerwährender Präses, K. beeideter Physikus der prager Israelitengemeinde und beständiger Arzt am dasigen Krankenhause. Eine biographische Skizze von seinem Enkel Jg. Jeitteles, der Rechtsgelehrsamkeit Beflissenen. Mit dem Bildnisse des Verblichenen",,,1806.0,,,,,תקסז,,18,,2217057,,1.0,,,,,410.0,,,"Sulamith, Jg 2 (1809) Nr 2, S. 1-26: Ignaz Jeitteles:  Eine biographische Skizze des Herrn Jonas Jeitteles, der Heilkunde Doktors, der Weltweisheit Baccalaurei, des gewesenen böhmisch-israelitisch-chirurgischen Gremiums immerwährenden Präses, K. beeideten Physici der Prager Israelitengemeinde ...",filtered_html,,,,,343.0,,,"Jeitteles, Ignaz:  Eine biographische Skizze des Herrn Jonas Jeitteles, der Heilkunde Doktors..., in: Sulamith, II,1, S. 1-26.",filtered_html,"-- Occidit! occidit!
Spes omnis et fortuna nostri Nominis! Horat.",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,,1806,,,,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10.5,
2012,2012,book,"Juden, sind sie der Handlung schädlich?",1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JNUL: S 38 B1723,filtered_html,0.0,,,,,,,,,0.0,,,,,,413.0,409.0,,,urn:nbn:de:hebis:30-180011664008,,"Juden, sind sie der Handlung schädlich?",,0.0,1803.0,,,,,,,15.8,,S 38 B1723,,0.0,,,415.0,415.0,410.0,,,,,a:0:{},,http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011664008,424.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,"AK: Eeichstädt, Nr. 400, gibt Frankfurt/Main (Varrentrapp) als Ort und Verlag an. Mutmaßl. Verf. als Jakob Süskind-Stern, nach SLB Stuttgart: HBF 3003. Möglicherweise Hinweise auf Autor in Gegenschrift: Blinde Kuh in der Handlung : ein Gegenstück zu der Schrift: Juden, sind sie der Handlung schädlich? Eigentlich nicht für und wider die Juden sondern für die gute Sache, Frankfurt a.M. (Körner) 1803.",filtered_html,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,438.0,,,,,,,,,0.0,,,,,532.0,,,,,,,,429.0,,,,,9,
2013,2013,book,Kampf der jüdischen Hierarchie mit der Vernunft,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,"Schulte 2002, 92-99.",filtered_html,,,,,,,,,,,,,,,,,,,,,UB München: 8 H.ecd.4109,filtered_html,0.0,,,,,,,,,1.0,"""Nachtrag an statt einer Vorrede""",filtered_html,,,,413.0,409.0,,,,,Kampf der jüdischen Hierarchie mit der Vernunft,,0.0,1788.0,,,,,תקמט,,18,,,,0.0,,,415.0,415.0,410.0,,,,,,,,424.0,359.0,,,"Laas, Andreas Gottfried (1753-1810): Hirschel, Moses, Kampf der jüdischen Hierarchie mit der Vernunft, in: Allgemeine deutsche Bibliothek 1790 , vol. 91, 579-580.",filtered_html,"Le Partage du brave homme est d’expliquer librement ses pensées. Celui qui n’ode regarder fixement les deux poles de la Vie humaine, la Religion et le Gouvernement, n’est qu’un lache.
Voltaire.",filtered_html,,,,,,,,,,,,,,,,,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,28.0,,1788,,,,534.0,,,0.0,0.0,,,,,,,,,324.0,0.0,,,,1.0,"David Friedländer: זענדשרייבן אן די דייטשי יידן.

Flekels, Eleasar, פלקלס, אלעזר בן דוד: עולת צבור.",filtered_html,,,,,,43-51; 51-102,filtered_html,,,0.0,,,0.0,,,0.0,426.0,,,,,,,,,0.0,,,,,535.0,,,1,,,,,429.0,,,,,11,
2014,2014,book,Kehilath Jahacob,1,1428490158,1428490158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kehilath Jahacob: being a vocabulary of words in the Hebrew language ... on various subjects ... together with an explination[!] of the different words, peculiar phrases and technical terms found in the Holy Bible and ... rabbinical writers, done into English and Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[26], 183 p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,1773,,536.0,,,,,,,,,"נטלי:

IUL",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015,book,"Klagelied, welches ... am Tage der Beysetzung des ... Königs ... Friedrichs des Fünften ... die Juden in Altona ... abgesungen haben",1,1428490158,1428490158,1,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עותק בספריה הלאומית - עותק מצולם,filtered_html,0.0,,,,,,,,,0.0,,,,,,455.0,409.0,,,,,"מספד

Klagelied, welches am Dienstage, den 8ten Nisan, im Jahre der Welt 5526, (das ist, den 18 März 1766) als am Tage der Beysetzung des in Gott ruhenden Allerdurchlauchtigsten Königs und Herrn, Herrn Friedrichs des Fünften, Königs zu Dännemark, Norwegen u. u. u. glorwürdigsten Andenkens, die Juden in Altona, Hochdeutschen Nation, abgesungen haben",,0.0,,,,,,,,,,L 2277,,0.0,,,415.0,,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[3] ע',,,,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,1.0,,תקכו,,,,,,,0.0,0.0,,,,,"נטלי:

IUL

ספרייה לאומית: L 2277",filtered_html,,,351.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,420.0,"פונה אל היהודים: ""שמעוני בני עמי"".

מוזכר לשבח בנו של המלך שמת, העולה לכתר.",filtered_html,,,,,,,0.0,,,"Misped

Klagelied, welches am Dienstage, den 8ten Nisan, im Jahre der Welt 5526, (das ist, den 18 März 1766) als am Tage der Beysetzung des in Gott ruhenden Allerdurchlauchtigsten Königs und Herrn, Herrn Friedrichs des Fünften, Königs zu Dännemark, Norwegen u. u. u. glorwürdigsten Andenkens, die Juden in Altona, Hochdeutschen Nation, abgesungen haben",,460.0,,,,,,,,429.0,,,,,,
2016,2016,book,Les premiers pas de la nation juive vers son bonheur sous les auspices du grand monarque Napoléon,1,1428490158,1428490158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:nbn:de:hebis:30-180011239003,,"Les premiers pas de la nation juive vers son bonheur sous les auspices du grand monarque Napoléon: Annoncés aux amis de l'humanité par C- ami de M. B. Schottlaender, conseiller de S. A. S. le duc de Brunsvvick-Lunebourg ... Distribué gratis",,,,,,,,,,,,,,,,,,,,,,,,a:0:{},,http://sammlungen.ub.uni-frankfurt.de/urn/urn:nbn:de:hebis:30-180011239003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47 S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,,,1810,,537.0,,,,,,,,,"AK: Eichstädt, Nr. 431, nach Eichstädt ist der Verfasser Israel Jakobsohn oder Baruch Schottländer.

BNF: FRBNF36347762",filtered_html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017,book,Lesebuch für Jüdische Kinder,1,1428490158,1428490158,1,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-הוראת הא""ב הלטיני והגרמני
-תרגיל קריאה
- א""ב עברי
-תפילת ""שמע ישראל""
-13 עיקרי האמונה של הרמב""ם
-משלים של ברכיה הנקדן
-סיפורי מוסר מן התלמוד
-שירים גרמניים
-תפילות
-אמרות ופתגמים מן התלמוד
-סיפורי מוסר ואמרות",filtered_html,,,"S 2004 B 1441 (ממנו לקחתי גדלים) את שאר העבודה עשיתי תוך הסתמכות על המהדורה המוערת: Shavit, Zohar. 1990. David Friedländer: Lesebuch für jüdische Kinder. Frankfurt a/M: Dipa. [A new annotated edition with an introduction and appendices by Zohar Shavit].",filtered_html,0.0,,,,,,,,,0.0,,,,,,454.0,409.0,,,"MPQ 110, F. 13845",,Lesebuch für Jüdische Kinder: Zum Besten der jüdischen Freyschule,,0.0,,,,,,,,18,,S 2004 B 1441,,0.0,,,415.0,,410.0,,,,,,,,,387.0,,,,,,,,,,,,,,,,,,,,,,,,439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,0.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,"במקראה מובאים תרגומים מן התלמוד לגרמנית, ומן המקראה של זולצר לעברית. ראו על כך אצל:
שביט, זהר. 1993. "" 'הריהוט של חדר ההשכלה היהודית בברלין' - ניתוח המיקראה המודרנית הראשונה לילדים יהודים"". בתוך: כמנהג אשכנז ופולין ספר יובל לחנא שמרוק. (עורכים) ישראל ברטל, חוה טורניאנסקי ועזרא מנדלסון. ירושלים: מרכז זלמן שזר לתולדות ישראל, 207-193.",filtered_html,,,,,,0.0,,,,,,,,,0.0,,,14.0,,1779,,,,430.0,,,0.0,0.0,,,,,טק,filtered_html,"היהודית בברלין' - ניתוח המיקראה המודרנית הראשונה לילדים יהודים"". בתוך: כמנהג אשכנז ופולין ספר יובל לחנא שמרוק. (עורכים) ישראל ברטל, חוה טורניאנסקי ועזרא מנדלסון. ירושלים: מרכז זלמן שזר לתולדות ישראל, 207-193.",filtered_html,328.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,420.0,"ראו על היעד של המקראה להוות פרוטוטיפ למקראות לילדים יהודים אצל שביט, זהר. 1993. "" 'הריהוט של חדר ההשכלה היהודית בברלין' - ניתוח המיקראה המודרנית הראשונה לילדים יהודים"". בתוך: כמנהג אשכנז ופולין ספר יובל לחנא שמרוק. (עורכים) ישראל ברטל, חוה טורניאנסקי ועזרא מנדלסון. ירושלים: מרכז זלמן שזר לתולדות ישראל, 207.",filtered_html,,,,,,,0.0,,,,,431.0,,,,,,,,429.0,,,,,11.5,
