menu_name,mlid,plid,link_path,router_path,link_title,options,module,hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
management,224,200,admin/config/user-interface/shortcut/link/%,admin/config/user-interface/shortcut/link/%,Edit shortcut,b'a:0:{}',system,0,0,1,0,0,5,0,1,7,50,200,224,0,0,0,0,0
management,225,195,admin/config/media/image-styles/edit/%,admin/config/media/image-styles/edit/%,Edit style,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:25:""Configure an image style."";}}'",system,0,0,1,0,0,5,0,1,7,34,195,225,0,0,0,0,0
management,226,210,admin/config/content/diff/fields/%,admin/config/content/diff/fields/%,Global field settings,b'a:0:{}',system,-1,0,0,0,0,6,0,1,7,25,193,210,226,0,0,0,0
management,227,208,admin/config/user-interface/shortcut/%/links,admin/config/user-interface/shortcut/%/links,List links,b'a:0:{}',system,-1,0,0,0,0,6,0,1,7,50,200,208,227,0,0,0,0
management,228,209,admin/config/content/diff/entities/node,admin/config/content/diff/entities/node,Node,b'a:0:{}',system,-1,0,0,0,-10,6,0,1,7,25,193,209,228,0,0,0,0
management,229,195,admin/config/media/image-styles/delete/%,admin/config/media/image-styles/delete/%,Delete style,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:22:""Delete an image style."";}}'",system,0,0,0,0,0,5,0,1,7,34,195,229,0,0,0,0,0
management,230,195,admin/config/media/image-styles/revert/%,admin/config/media/image-styles/revert/%,Revert style,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:22:""Revert an image style."";}}'",system,0,0,0,0,0,5,0,1,7,34,195,230,0,0,0,0,0
management,231,224,admin/config/user-interface/shortcut/link/%/delete,admin/config/user-interface/shortcut/link/%/delete,Delete shortcut,b'a:0:{}',system,0,0,0,0,0,6,0,1,7,50,200,224,231,0,0,0,0
management,232,225,admin/config/media/image-styles/edit/%/add/%,admin/config/media/image-styles/edit/%/add/%,Add image effect,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:28:""Add a new effect to a style."";}}'",system,0,0,0,0,0,6,0,1,7,34,195,225,232,0,0,0,0
management,233,225,admin/config/media/image-styles/edit/%/effects/%,admin/config/media/image-styles/edit/%/effects/%,Edit image effect,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:39:""Edit an existing effect within a style."";}}'",system,0,0,1,0,0,6,0,1,7,34,195,225,233,0,0,0,0
management,234,233,admin/config/media/image-styles/edit/%/effects/%/delete,admin/config/media/image-styles/edit/%/effects/%/delete,Delete image effect,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:39:""Delete an existing effect from a style."";}}'",system,0,0,0,0,0,7,0,1,7,34,195,225,233,234,0,0,0
shortcut-set-1,235,0,node/add,node/add,Add content,b'a:0:{}',menu,0,0,0,0,-20,1,0,235,0,0,0,0,0,0,0,0,0
shortcut-set-1,236,0,admin/content,admin/content,Find content,b'a:0:{}',menu,0,0,0,0,-19,1,0,236,0,0,0,0,0,0,0,0,0
