nid,vid,type,title,status,created,changed,uid,book_target_id,edition_changes,edition_changes_format,edition_city_tid,edition_references,edition_references_format,edition_year,edition_year_format
2607,2607,edition,"מודע לבני בינה oder Kinderfreund und Lehrer 2 - תקע""ז",1,1428490248,1428490248,1,2210,,,3.0,וינוגרד,,"תקע""ז",
2608,2608,edition,מודע לבני בינה oder Kinderfreund und Lehrer 2 - 1823,1,1428490248,1428490248,1,2210,,,139.0,וינוגרד,,1823,
2609,2609,edition,"מודע לילדי בני ישראל - תקע""ב",1,1428490248,1428490248,1,2211,,,14.0,IUL,,"תקע""ב",
2610,2610,edition,מלוכת שאול - 1794,1,1428490248,1428490248,1,2234,,,,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1794,
2611,2611,edition,מלוכת שאול - 1820,1,1428490248,1428490248,1,2234,,,,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1820,
2612,2612,edition,מלוכת שאול - 1822,1,1428490248,1428490248,1,2234,,,,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1822,
2613,2613,edition,מלוכת שאול - 1825,1,1428490248,1428490248,1,2234,,,,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1825,
2614,2614,edition,מלוכת שאול - 1829,1,1428490248,1428490248,1,2234,,,,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1829,
2615,2615,edition,מלוכת שאול - 1871,1,1428490248,1428490248,1,2234,,,276.0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1871,
2616,2616,edition,מלוכת שאול - 1885,1,1428490248,1428490248,1,2234,,,276.0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1885,
