nid,vid,type,title,status,created,changed,uid,mentionee_target_id,mentionee_city_tid,mentionee_description_tid
2956,2956,mention,"Oppenheim, Madame W. J. - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hannover",1,1428490257,1428490257,1,386,91.0,803.0
2957,2957,mention,"Oppenheim, Mendel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,387,121.0,803.0
2958,2958,mention,Joseph Philipp - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen,1,1428490257,1428490257,1,275,49.0,803.0
2959,2959,mention,Polonus (Dr.) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Vilnius,1,1428490257,1428490257,1,401,274.0,803.0
2960,2960,mention,"Prekuln, Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hasenpoth",1,1428490257,1428490257,1,403,92.0,803.0
2961,2961,mention,"Rochnove, Josel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,411,14.0,803.0
2962,2962,mention,Gallathea Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hannover,1,1428490257,1428490257,1,172,91.0,803.0
2963,2963,mention,Samuel Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hildesheim,1,1428490257,1428490257,1,420,95.0,803.0
2964,2964,mention,Levin Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hildesheim,1,1428490257,1428490257,1,321,95.0,803.0
2965,2965,mention,Mendel Samuel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg,1,1428490257,1428490257,1,360,121.0,803.0
2966,2966,mention,"Schottländer, Aron - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,432,49.0,803.0
2967,2967,mention,"Schulz, Johann (Hofprediger) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,435,121.0,803.0
2968,2968,mention,"Schuster, Getz - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,436,72.0,803.0
2969,2969,mention,"Schuster, Levin - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,437,72.0,803.0
2970,2970,mention,"Seligmann, Jeannette - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,441,121.0,803.0
2971,2971,mention,"Seligmann, Wulff - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,442,72.0,803.0
2972,2972,mention,"Sichel, Lemmlen - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,443,72.0,803.0
2973,2973,mention,Simon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Warsaw,1,1428490257,1428490257,1,445,276.0,803.0
2974,2974,mention,"Spira, Salomon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,454,72.0,803.0
2975,2975,mention,"Simon, Mendel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,447,121.0,803.0
2976,2976,mention,"Urjas, Nathan - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,460,121.0,803.0
2977,2977,mention,"Veitel, David Ephraim - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,463,14.0,803.0
2978,2978,mention,"Wallach, David - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,466,14.0,803.0
2979,2979,mention,"Wallach, Demoiselle - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,467,121.0,803.0
2980,2980,mention,"Wallach, Madame - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,468,121.0,803.0
2981,2981,mention,"Wappler, Christian Friedrich (Buchhändler) - Gebete der hochdeutschen und polnischen Juden - Subscriber - Vienna",1,1428490257,1428490257,1,471,273.0,803.0
2982,2982,mention,"Warburg, Meyer - Gebete der hochdeutschen und polnischen Juden - Subscriber - Berlin",1,1428490257,1428490257,1,473,14.0,803.0
2983,2983,mention,"Warburg, Aron Levin - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,472,49.0,803.0
2984,2984,mention,"Wertheimer, Samuel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hamburg",1,1428490257,1428490257,1,476,88.0,803.0
2985,2985,mention,"Wessely, Joel - Gebete der hochdeutschen und polnischen Juden - Subscriber - Copenhagen",1,1428490257,1428490257,1,481,49.0,803.0
2986,2986,mention,"Wiener, Isaac - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,483,72.0,803.0
2987,2987,mention,"Winck, Wolff - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,485,72.0,803.0
2988,2988,mention,"Wetzlar, Gottschalck - Gebete der hochdeutschen und polnischen Juden - Subscriber - Frankfurt am Main",1,1428490257,1428490257,1,482,72.0,803.0
2989,2989,mention,"Wulff, Heymann - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hasenpoth",1,1428490257,1428490257,1,496,92.0,803.0
2990,2990,mention,"Wulff, Joseph - Gebete der hochdeutschen und polnischen Juden - Subscriber - Hasenpoth",1,1428490257,1428490257,1,497,92.0,803.0
2991,2991,mention,"Wulff, Abraham - Gebete der hochdeutschen und polnischen Juden - Subscriber - Halle",1,1428490257,1428490257,1,495,86.0,803.0
2992,2992,mention,"Zacharias, Moses - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,499,121.0,803.0
2993,2993,mention,"Zacharias, Simon - Gebete der hochdeutschen und polnischen Juden - Subscriber - Königsberg",1,1428490257,1428490257,1,500,121.0,803.0
2994,2994,mention,"Fränkel, David - Geschichte der Juden von ihrer Rückkehr aus der babylonischen Gefangenschaft bis zur Zerstörung des zweyten Tempels - Dedication - Dessau",1,1428490257,1428490257,1,130,54.0,799.0
2995,2995,mention,"David Levi - Grammatica ragionata italiana ed ebraica con trattato, ed esempj di poesia - Dedication - Triest",1,1428490257,1428490257,1,89,261.0,799.0
2996,2996,mention,"Giuseppe Lazzaro Morpurgo - Grammatica ragionata italiana ed ebraica con trattato, ed esempj di poesia - Dedication - Triest",1,1428490257,1428490257,1,183,261.0,799.0
2997,2997,mention,"Isaia Norsa - Grammatica ragionata italiana ed ebraica con trattato, ed esempj di poesia - Dedication - Triest",1,1428490257,1428490257,1,241,261.0,799.0
2998,2998,mention,Friedrich Salomon Stöltzner - Gründlicher Unterricht in der Jüdischdeutschen Schreibart - Thanks - Leipzig,1,1428490257,1428490257,1,164,139.0,802.0
2999,2999,mention,"Gunz, Simon - Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse - Approbation - ",1,1428490257,1428490257,1,194,,801.0
3000,3000,mention,"Euchel, Isaac Abraham - Israelitischer Kinderfreund Oder Handbuch der gemeinnützigsten wissenschaftlichen Kenntnisse - Approbation - Berlin",1,1428490257,1428490257,1,122,14.0,801.0
3001,3001,mention,Abraham Moses - Israelitischer Kinderfreund - Subscriber - Stargard,1,1428490257,1428490257,1,9,241.0,803.0
3002,3002,mention,"Berend, S. L. (Landesältester) - Israelitischer Kinderfreund - Subscriber - Stettin",1,1428490257,1428490257,1,53,242.0,803.0
3003,3003,mention,Diehl - Israelitischer Kinderfreund - Subscriber - Frankfurt am Main,1,1428490257,1428490257,1,98,72.0,803.0
3004,3004,mention,Direktion der Kaufmännischen Ressource - Israelitischer Kinderfreund - Subscriber - Berlin,1,1428490257,1428490257,1,99,14.0,803.0
3005,3005,mention,Dohm (Syndicus) - Israelitischer Kinderfreund - Subscriber - Breslau,1,1428490257,1428490257,1,100,28.0,803.0
3006,3006,mention,Elbthal - Israelitischer Kinderfreund - Subscriber - Magdeburg,1,1428490257,1428490257,1,106,152.0,803.0
3007,3007,mention,Engel - Israelitischer Kinderfreund - Subscriber - Strasbourg,1,1428490257,1428490257,1,110,245.0,803.0
3008,3008,mention,Eschwege - Israelitischer Kinderfreund - Subscriber - Potsdam,1,1428490257,1428490257,1,117,202.0,803.0
