orphan_uuid,orphan_name,model,entity_pk,entity_slug,field,snippet
b7e4d18b-7cbc-4d60-8e58-1cbe659fdaa1,Hamm,Book,d10b538a-0908-45d3-9e37-55f8b0b502b2,book-d10b538a,subscribers_notes,"ארן, גבריאל (Berlin) דעסוי, גרשון (פו""מ המדינה, Hamm) האס, אנשיל (מהו', Hamburg) הויזן, ישראל (Lesla"
e018e49c-7e20-4df5-882f-a5e909481802,Landau,Edition,80ca8259-feb5-4e7b-9392-f61b276034b5,,changes,Publisher: Moshe Landau
45eaaa97-a334-4546-9c2c-cd1cd232a855,Polen,Production,fee9739e-c643-431a-b084-ce1ba11e0f28,,title,"nothwendige Reformation der Juden in der Republik Polen - Author,Translator"
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Production,a59ddec1-e650-4fe0-a966-fce331e24283,,title,bson ... lors de la dédicace du Temple de Jacob à Seesen - Author
426d0c2e-20cd-42bc-92a5-df10d5251dcf,Seesen,Production,cbb34a86-d638-4bd1-86b2-c807dcf116e5,,title,ן - Rede bei der Einweihung des Jakobs-Tempels zu Seesen - Don't know
e018e49c-7e20-4df5-882f-a5e909481802,Landau,Production,72dafe21-6ec1-4213-9325-90a77893148e,,title,"Landau, Moses Israel - Rede gehalten am Jubelfeste der i"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,53a3db54-7cb1-46dc-9da8-9e8308ca24b5,,title,"Dubno, Salomon - דובנא, שלמה - אבל יחיד - Author"
e018e49c-7e20-4df5-882f-a5e909481802,Landau,Production,ef5e7b12-2e23-40c4-93ae-eb2b34431c22,,title,"Landau, Israel - לנדא, ישראל - אגרת ארחות עולם - Editor"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,d373da3c-8336-460d-bef3-0e88e6168cc9,,title,"Dubno, Salomon - דובנא, שלמה - אהבת ציון - Editor"
6b49f559-e45c-447a-b46c-872d3b76506f,Troplowitz,Production,6c06464b-73ea-48ba-8453-1a80fa1228b7,,title,"Troplowitz, Joseph Ephrati - האפרתי, יוסף מטראפלוויץ - אלון"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,4d3f03bb-6274-40c2-936a-dd33295fbf41,,title,"Dubno, Salomon - דובנא, שלמה - לישרים תהלה - Mevi La'Df"
6b49f559-e45c-447a-b46c-872d3b76506f,Troplowitz,Production,e4f2c010-34fa-4a7d-becb-7f2ce39fa706,,title,"Troplowitz, Joseph Ephrati - האפרתי, יוסף מטראפלוויץ - מלוכת"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,d9f7d3cb-d2df-436e-b783-d1d97176f7c5,,title,"Dubno, Salomon - דובנא, שלמה - ספר ברכת יוסף - Author"
e018e49c-7e20-4df5-882f-a5e909481802,Landau,Production,0a0fafd0-61a9-42c7-adba-3c5b1a94a6bb,,title,"Landau, Israel - לנדא, ישראל - ספר חק לישראל - Mevi La'D"
a9544bb3-d0c1-44c5-b6f4-8bd9fd9ae72c,Sandersleben,Production,2f463bc2-e21f-46e2-aa5c-3c76e83a87da,,title,"Sandersleben, Mosse Levi - סנדרסלבן, משה לוי - ספר יסוד חנוך נ"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,d440fe4d-1098-49e1-9df3-a5b96ea264d9,,title,"Dubno, Salomon - דובנא, שלמה - ספר נתיבות השלום א - Com"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,a0df280b-7cf3-4962-a09f-a449346c78f3,,title,"Dubno, Salomon - דובנא, שלמה - ספר שערי נעימה - Mevi La"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,cc57ab18-347e-4440-89a5-dc220e68e5e5,,title,"Dubno, Salomon - דובנא, שלמה - עלים לתרופה - Author"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,bd727334-a1a1-4929-a581-93ce1994f127,,title,"Dubno, Salomon - דובנא, שלמה - קול שמחה - Author"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,7a7a0fdb-a106-4838-8dcd-4d4c0b3b7f25,,title,"Dubno, Salomon - דובנא, שלמה - Nachricht von der Jüdisc"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,d546b9ba-b7f2-4bca-96c2-df99ac494ff0,,title,"Dubno, Salomon - דובנא, שלמה - ספר נתיבות השלום ב - Com"
c6519d80-770a-4ae1-b1ba-04064fe08cfb,Dubno,Production,6c21afa2-371f-4259-a26c-d175a9ac5d89,,title,"Dubno, Salomon - דובנא, שלמה - תיקון סופרים - Author"
