uuid,name,slug,wikidata_id,parent_place,merged_into
3f2eed9b-c1c9-469c-bb43-e883059e4e0a,Warsaw,warsaw,,,
ddd328e2-9060-4831-bde3-7e774da2b0c9,Wasiliszki,wasiliszki,,,
649fa979-76cf-4a9d-a145-84a7b02a35b7,Weikersheim,weikersheim,,,
e42ab1ac-5589-4f7c-9667-ef8d0955d4d6,Wien,wien,,,
012e7e36-1d60-4983-a65b-917e95bba27f,Worms,worms,,,
cdaf406c-f847-48c1-98f3-01f65075692e,Wriezen,wriezen,,,
2a2d5ad7-4340-4d80-9dd6-fe01816dddb1,Würzburg,wurzburg,,,
a27a8dff-4f4a-4cce-b077-8d5b6bc31207,Zamosc,zamosc,,,
2b96ded7-06a8-4e09-b6c3-fb5684a4d91d,Zell,zell,,,
48ca0895-a552-4770-a811-8e55a0d09fc8,Zhovkva,zhovkva,,,
7bc04dfd-2013-4ff6-a37d-bcd8e7eee0e7,Zolochiv,zolochiv,,,
651c61d7-d4e6-4aad-9331-11602daf4a48,Zürich,zurich,,,
8f93f0bf-4186-4353-a0b0-5acfce92bc5f,אבערראבבינער,city-8f93f0bf,,,
86002dcf-2bed-4f84-8a48-4ccc86cea6ba,אמשניץ,city-86002dcf,,,
9251dd0e-a5c4-45ba-bdfd-27de53f16539,אפען,city-9251dd0e,,,
9b2624c7-a4fe-4e4a-933b-639cf39d2773,דיהרנפורט,city-9b2624c7,,,
d2e1f8ec-307f-4f91-bf5a-fbc773f5a9be,דיניויץ,city-d2e1f8ec,,,
0721c4fe-b21f-49ba-8c22-2e88972ac7eb,ווערדין,city-0721c4fe,,,
fb467505-f936-4ef7-b689-939005551f6a,ויעלקאשט,city-fb467505,,,
0208938d-3176-475c-8b48-d8343aa4aaa4,ולאטאווי,city-0208938d,,,
ae8f4639-0a49-4134-8218-71fac82176c1,זאמחוב,city-ae8f4639,,,
b2bfe939-5b36-419e-82d3-7a50e931d253,טורהאוויץ,city-b2bfe939,,,
bebad93d-e843-4c04-885f-59152f7d5c0b,טשערנאוויץ,city-bebad93d,,,
fb7ee147-f50f-4f8f-92f3-82b1e34c7f96,יוזעפאף,city-fb7ee147,,,
e6e1e6d0-e5ed-44bd-ad45-80031dafb019,לעטשוב=לאצוב,city-e6e1e6d0,,,
70c1a26a-af53-444b-92fa-d1c9a7408ea6,מיץ,city-70c1a26a,,,
77a30656-67d8-481b-803a-cbb42820e918,נאווי דוואהר,city-77a30656,,,
b3953102-c7d6-4b30-aff2-73315442afa2,סטאבנץ,city-b3953102,,,
596f7a3f-e279-4719-81d4-d6c6a39a2135,קאסנטין הישנה,city-596f7a3f,,,
5d026843-a4a0-4a9d-8d48-c519076970aa,ראנינבורג,city-5d026843,,,
8375c608-fa73-49c6-84da-a9bb8fcf05a1,שערשאווי,city-8375c608,,,
ddafbbdc-a731-4005-94a6-a3fcd31a59a2,שקוד האזפוט,city-ddafbbdc,,,
